matchid,playername,playing_role,playing_team,playercost,total_points,pred_points_xgb,pred_points_catboost,pred_points_rf,pred_points_movingaverage,pred_points,pred_selection_rank,pred_selection_true,actual_selection_rank,actual_selection_true
829761,G Gambhir,Batsmen,Kolkata Knight Riders,9,15.0,33.42451,36.030547118018205,34.29012676514362,32.0,32.0,9.0,1.0,,
829761,GB Hogg,Bowler,Kolkata Knight Riders,9,23.0,30.836157,31.076333164114427,30.25622877450757,36.0,36.0,5.0,1.0,,
829761,Imran Tahir,Bowler,Delhi Daredevils,9,48.0,33.034817,34.79411773004849,32.47617372737283,34.33333333,34.33333333,7.0,1.0,3.0,1.0
829761,J Botha,AllRounder,Kolkata Knight Riders,9,15.0,31.413092,34.14129186914853,32.65217219834071,18.0,18.0,,,,
829761,JA Morkel,Bowler,Delhi Daredevils,9,32.0,26.580557,28.489351387069583,28.21730096058523,47.0,47.0,3.0,1.0,7.0,1.0
829761,JP Duminy,AllRounder,Delhi Daredevils,9,24.0,39.215206,43.70321723915945,39.20929894374217,39.33333333,39.33333333,4.0,1.0,,
829761,KM Jadhav,Batsmen,Delhi Daredevils,9,12.0,20.756395,21.01489420178171,23.44070117229252,19.0,19.0,,,,
829761,MK Pandey,Batsmen,Kolkata Knight Riders,9,25.0,30.827003,31.565826234821007,31.91499987224895,16.66666667,16.66666667,,,,
829761,MK Tiwary,Batsmen,Delhi Daredevils,9,32.0,28.110565,29.05197777161692,28.687751966137125,32.66666667,32.66666667,8.0,1.0,6.0,1.0
829761,PP Chawla,Bowler,Kolkata Knight Riders,9,270.0,28.303135,27.110599288791786,28.20154380302834,17.0,17.0,,,0.0,1.0
829761,RV Uthappa,Batsmen,Kolkata Knight Riders,9,40.0,35.059612,37.83159548966075,35.59184649358125,25.66666667,25.66666667,,,4.0,1.0
829761,SA Yadav,Batsmen,Kolkata Knight Riders,9,7.0,24.676893,23.90011870003969,25.93875177753154,20.0,20.0,,,,
829761,SP Narine,Bowler,Kolkata Knight Riders,9,0.0,26.479286,26.5041312848278,28.65915524207859,16.66666667,16.66666667,,,,
829761,SS Iyer,Batsmen,Delhi Daredevils,9,48.0,33.120274,35.00171544580539,32.182963676289475,51.0,51.0,2.0,1.0,2.0,1.0
829761,SS Tiwary,Batsmen,Delhi Daredevils,9,30.0,27.483585,28.52521588582019,28.740634499000063,29.33333333,29.33333333,10.0,1.0,8.0,1.0
829761,UT Yadav,Bowler,Kolkata Knight Riders,9,2.0,29.966412,30.42038709264988,29.67488281336783,51.33333333,51.33333333,1.0,1.0,,
829761,YK Pathan,AllRounder,Kolkata Knight Riders,9,79.5,28.408186,30.1271266304755,29.329489799755024,27.66666667,27.66666667,,,1.0,1.0
829761,Yuvraj Singh,AllRounder,Delhi Daredevils,9,23.0,28.564062,29.76524517967442,29.733058012554032,10.0,10.0,,,,
829761,Z Khan,Bowler,Delhi Daredevils,9,25.0,26.767296,28.337736627772752,28.35850337712299,18.0,18.0,,,,
829763,AB de Villiers,Batsmen,Royal Challengers Bangalore,9,172.0,32.152733,33.732222934093976,33.22750265651912,41.66666667,41.66666667,3.0,1.0,0.0,1.0
829763,CH Gayle,Batsmen,Royal Challengers Bangalore,9,13.0,36.754738,39.34462030238338,39.18090158801124,45.0,45.0,2.0,1.0,8.0,1.0
829763,D Wiese,Bowler,Royal Challengers Bangalore,9,14.0,26.660515,27.143591438752107,27.660672271101063,35.33333333,35.33333333,4.0,1.0,7.0,1.0
829763,DS Kulkarni,Bowler,Rajasthan Royals,9,25.0,26.537859,28.267671535373378,27.81888997605013,31.33333333,31.33333333,6.0,1.0,6.0,1.0
829763,HV Patel,Bowler,Royal Challengers Bangalore,9,9.0,26.39284,27.1323955139499,27.08687927292285,34.66666667,34.66666667,5.0,1.0,9.0,1.0
829763,JP Faulkner,Bowler,Rajasthan Royals,9,-6.0,24.976286,27.440822559688865,26.777234306351406,10.0,10.0,10.0,1.0,,
829763,KD Karthik,Batsmen,Royal Challengers Bangalore,9,33.0,30.07385,28.967676228647846,30.77922510282307,14.66666667,14.66666667,8.0,1.0,4.0,1.0
829763,Mandeep Singh,Batsmen,Royal Challengers Bangalore,9,33.0,23.640993,24.22515450482413,26.861093947265,1.333333333,1.333333333,,,3.0,1.0
829763,PV Tambe,Bowler,Rajasthan Royals,9,-6.0,24.776588,27.081754020247875,26.54833205105139,16.0,16.0,7.0,1.0,,
829763,SN Khan,Batsmen,Royal Challengers Bangalore,9,82.5,26.12637,27.1232644907224,26.66145116326828,,,,,1.0,1.0
829763,SR Watson,AllRounder,Rajasthan Royals,9,0.0,41.209892,41.2628030738222,39.57434812329858,71.66666667,71.66666667,0.0,1.0,,
829763,STR Binny,AllRounder,Rajasthan Royals,9,25.0,25.024338,27.62491788183643,27.196531672532668,14.0,14.0,9.0,1.0,5.0,1.0
829763,TG Southee,Bowler,Rajasthan Royals,9,50.0,22.555225,25.22718486240163,26.742965229279143,9.0,9.0,,,2.0,1.0
829763,V Kohli,Batsmen,Royal Challengers Bangalore,9,1.0,40.066586,43.058379974419616,41.80537010030824,63.33333333,63.33333333,1.0,1.0,,
829765,A Nehra,Bowler,Chennai Super Kings,9,23.0,35.102627,35.34917437678387,34.64377872652706,57.0,57.0,1.0,1.0,,
829765,AD Russell,AllRounder,Kolkata Knight Riders,9,58.0,37.329357,37.33143027169661,37.96838489515046,29.66666667,29.66666667,,,2.0,1.0
829765,BB McCullum,Batsmen,Chennai Super Kings,9,26.0,38.53894,39.044622962431376,36.08896551757052,40.0,40.0,7.0,1.0,10.0,1.0
829765,DJ Bravo,AllRounder,Chennai Super Kings,9,162.0,40.10658,42.302089686672105,42.54914938644278,46.33333333,46.33333333,3.0,1.0,0.0,1.0
829765,DR Smith,AllRounder,Chennai Super Kings,9,31.0,35.829742,39.55129460082529,35.694604208876854,42.66666667,42.66666667,6.0,1.0,8.0,1.0
829765,F du Plessis,Batsmen,Chennai Super Kings,9,34.0,28.398731,27.307519802152093,29.61027037508065,18.0,18.0,,,6.0,1.0
829765,G Gambhir,Batsmen,Kolkata Knight Riders,9,-2.0,32.661137,32.72937951756761,32.208125194488304,32.66666667,32.66666667,,,,
829765,GB Hogg,Bowler,Kolkata Knight Riders,9,31.0,29.963148,30.889726184324545,29.932130964295855,43.66666667,43.66666667,4.0,1.0,7.0,1.0
829765,IC Pandey,Bowler,Chennai Super Kings,9,25.0,28.772581,26.74529241384324,27.848140070010828,18.0,18.0,,,,
829765,MK Pandey,Batsmen,Kolkata Knight Riders,9,17.0,29.859652,31.387266603190795,30.87193464641838,20.33333333,20.33333333,,,,
829765,MM Sharma,Bowler,Chennai Super Kings,9,25.0,26.296314,27.33258227129816,27.32630232939875,10.33333333,10.33333333,,,,
829765,MS Dhoni,Batsmen,Chennai Super Kings,9,7.0,29.062387,31.021712339693725,31.50814065569426,33.66666667,33.66666667,10.0,1.0,,
829765,PJ Cummins,Bowler,Kolkata Knight Riders,9,3.0,25.65569,26.45099422944344,26.22953596469894,,,,,,
829765,PP Chawla,Bowler,Kolkata Knight Riders,9,48.0,30.533335,31.89481268062562,31.39895953153662,60.33333333,60.33333333,0.0,1.0,4.0,1.0
829765,R Ashwin,Bowler,Chennai Super Kings,9,100.5,26.778225,26.64165002248296,28.01866570452244,17.66666667,17.66666667,,,1.0,1.0
829765,RA Jadeja,AllRounder,Chennai Super Kings,9,21.0,31.805141,34.2523687351861,33.388717893741834,51.33333333,51.33333333,2.0,1.0,,
829765,RN ten Doeschate,Batsmen,Kolkata Knight Riders,9,46.0,18.24287,20.661052549912636,22.512576049231733,2.0,2.0,,,5.0,1.0
829765,RV Uthappa,Batsmen,Kolkata Knight Riders,9,48.0,35.211475,36.76436459849784,34.632494551256194,34.0,34.0,9.0,1.0,3.0,1.0
829765,SA Yadav,Batsmen,Kolkata Knight Riders,9,17.0,23.04625,22.60038583038663,23.92459335191292,12.66666667,12.66666667,,,,
829765,SK Raina,Batsmen,Chennai Super Kings,9,28.0,33.337425,36.68696915783103,34.61495625418424,42.66666667,42.66666667,5.0,1.0,9.0,1.0
829765,UT Yadav,Bowler,Kolkata Knight Riders,9,-2.0,29.395645,30.61957995845094,28.6920443044888,27.0,27.0,,,,
829765,YK Pathan,AllRounder,Kolkata Knight Riders,9,15.0,28.098969,30.410715465489425,29.47658870846072,34.33333333,34.33333333,8.0,1.0,,
829767,A Mishra,Bowler,Delhi Daredevils,9,29.0,26.087486,26.780426674993954,26.89751507737089,25.0,25.0,,,8.0,1.0
829767,AD Mathews,AllRounder,Delhi Daredevils,9,2.0,31.69169,33.39074135717903,31.24936558539287,34.0,34.0,7.0,1.0,,
829767,AR Patel,Bowler,Kings XI Punjab,9,30.0,29.05143,31.14838996984208,31.0549794698506,56.0,56.0,0.0,1.0,6.0,1.0
829767,Anureet Singh,Bowler,Kings XI Punjab,9,12.0,26.588612,26.155835923905283,27.854828744177112,26.66666667,26.66666667,10.0,1.0,10.0,1.0
829767,DA Miller,Batsmen,Kings XI Punjab,9,50.0,25.968441,26.769727402395677,28.460771326025576,31.33333333,31.33333333,9.0,1.0,4.0,1.0
829767,GJ Bailey,Batsmen,Kings XI Punjab,9,21.0,31.184704,30.25153425037599,31.17636421400579,35.33333333,35.33333333,6.0,1.0,9.0,1.0
829767,Imran Tahir,Bowler,Delhi Daredevils,9,-2.0,31.789854,33.177737928426296,31.552326423043176,42.0,42.0,4.0,1.0,,
829767,JP Duminy,AllRounder,Delhi Daredevils,9,31.0,38.439445,41.68525724274628,38.39530015080709,46.66666667,46.66666667,2.0,1.0,5.0,1.0
829767,M Vohra,Batsmen,Kings XI Punjab,9,1.0,35.14562,37.57184649529225,34.34178373466516,45.0,45.0,3.0,1.0,,
829767,MA Agarwal,Batsmen,Delhi Daredevils,9,73.0,31.034925,30.587968854466556,30.548924617688893,12.33333333,12.33333333,,,2.0,1.0
829767,NLTC Perera,AllRounder,Kings XI Punjab,9,-3.0,35.264668,35.8954892978503,34.96970797222845,30.0,30.0,,,,
