matchid,pred_points_player,actual_points_player,pred_selection_cnt,error,rewards_earned
419149,473.5,610.5,10.0,,0.0
419150,562.0,669.0,10.0,,0.0
419151,419.5,700.5,10.0,,0.0
419152,376.0,540.0,10.0,,0.0
419153,592.5,734.5,10.0,,0.0
419154,398.0,513.0,10.0,,0.0
419155,408.0,578.5,10.0,,0.0
419156,496.0,687.5,10.0,,0.0
419157,486.0,729.5,10.0,,0.0
419158,443.0,645.5,10.0,,0.0
419159,343.5,735.5,10.0,,0.0
419160,332.5,648.5,10.0,,0.0
419161,492.0,557.0,10.0,,0.0
419162,605.5,704.5,10.0,,0.0
419163,618.5,717.5,10.0,,0.0
419164,235.0,667.0,10.0,,0.0
419165,361.0,635.0,10.0,,0.0
501198,459.0,648.5,10.0,,0.0
501199,410.5,638.5,10.0,,0.0
501200,398.0,539.0,10.0,,0.0
501201,558.0,640.0,10.0,,0.0
501202,424.0,654.5,10.0,,0.0
501203,431.5,646.5,10.0,,0.0
501204,338.0,605.0,10.0,,0.0
501205,425.0,592.0,10.0,,0.0
501206,112.0,798.0,10.0,,0.0
501207,455.5,673.5,10.0,,0.0
501208,576.0,705.0,10.0,,0.0
501209,331.0,576.0,10.0,,0.0
501210,625.0,767.0,10.0,,0.0
501211,372.0,729.0,10.0,,0.0
501212,616.0,847.5,10.0,,0.0
501213,393.0,889.0,10.0,,0.0
501214,161.0,499.0,10.0,,0.0
501215,265.0,466.0,10.0,,0.0
501216,398.5,612.5,10.0,,0.0
501218,318.5,643.5,10.0,,0.0
501219,455.0,666.0,10.0,,0.0
501220,654.5,712.5,10.0,,0.0
501221,396.0,843.0,10.0,,0.0
501222,570.0,727.0,10.0,,0.0
501223,529.0,776.0,10.0,,0.0
501224,358.5,616.5,10.0,,0.0
501225,420.0,579.5,10.0,,0.0
501226,393.0,647.0,10.0,,0.0
501227,556.5,651.5,10.0,,0.0
501228,551.5,625.5,10.0,,0.0
501229,240.0,843.5,10.0,,0.0
501230,451.0,614.5,10.0,,0.0
501231,557.0,616.0,10.0,,0.0
501232,609.0,665.0,10.0,,0.0
501233,607.5,764.5,10.0,,0.0
501234,333.0,489.0,10.0,,0.0
501235,262.0,582.5,10.0,,0.0
501236,470.5,717.5,10.0,,0.0
501237,404.0,694.5,10.0,,0.0
501238,280.0,451.0,10.0,,0.0
501239,347.5,596.5,10.0,,0.0
501240,456.0,658.5,10.0,,0.0
501241,376.5,692.5,10.0,,0.0
501242,180.0,651.5,10.0,,0.0
501243,676.0,824.0,10.0,,0.0
501244,877.0,1005.0,10.0,,0.0
501245,276.0,418.0,10.0,,0.0
501246,598.0,754.0,10.0,,0.0
501247,413.0,559.0,10.0,,0.0
501248,428.0,549.0,10.0,,0.0
501249,449.0,740.5,10.0,,0.0
501250,274.0,621.5,10.0,,0.0
501251,518.0,798.0,10.0,,0.0
501252,589.5,625.5,10.0,,0.0
501253,396.0,632.0,10.0,,0.0
501254,377.0,732.0,10.0,,0.0
501255,422.0,464.0,10.0,,0.0
501256,231.0,627.5,10.0,,0.0
501257,660.0,748.0,10.0,,0.0
501258,138.0,657.0,10.0,,0.0
501259,480.0,589.0,10.0,,0.0
501260,534.0,935.0,10.0,,0.0
501261,406.0,565.0,10.0,,0.0
501262,360.0,561.5,10.0,,0.0
501263,574.0,680.0,10.0,,0.0
501264,435.0,835.0,10.0,,0.0
501266,510.5,690.5,10.0,,0.0
501267,256.0,694.0,10.0,,0.0
501268,386.5,640.5,10.0,,0.0
501269,287.0,684.0,10.0,,0.0
501270,551.5,724.5,10.0,,0.0
501271,338.0,754.0,10.0,,0.0
548306,140.0,560.0,10.0,,0.0
548307,373.0,512.0,10.0,,0.0
548308,527.0,704.5,10.0,,0.0
548309,523.0,783.0,10.0,,0.0
548310,283.0,649.0,10.0,,0.0
548311,291.0,890.5,10.0,,0.0
548312,249.0,682.0,10.0,,0.0
548313,346.5,594.5,10.0,,0.0
548314,624.0,809.0,10.0,,0.0
548315,308.0,845.0,10.0,,0.0
548316,333.0,418.0,10.0,,0.0
548317,766.0,990.0,10.0,,0.0
548318,527.0,837.0,10.0,,0.0
548319,613.5,691.5,10.0,,0.0
548320,383.5,517.5,10.0,,0.0
548321,552.0,793.5,10.0,,0.0
548322,281.0,546.5,10.0,,0.0
548323,326.0,783.0,10.0,,0.0
548324,233.0,815.0,10.0,,0.0
548325,343.0,548.0,10.0,,0.0
548326,309.0,705.0,10.0,,0.0
548327,447.0,699.5,10.0,,0.0
548328,487.5,558.5,10.0,,0.0
548329,655.5,827.5,10.0,,0.0
548330,259.5,683.5,10.0,,0.0
548331,436.0,750.0,10.0,,0.0
548332,466.0,566.0,10.0,,0.0
548333,335.5,775.5,10.0,,0.0
548334,141.0,694.0,10.0,,0.0
548335,478.5,515.5,10.0,,0.0
548336,424.5,758.5,10.0,,0.0
548337,376.0,610.0,10.0,,0.0
548339,468.5,652.5,10.0,,0.0
548341,440.0,553.0,10.0,,0.0
548342,412.0,805.5,10.0,,0.0
548343,593.0,711.0,10.0,,0.0
548344,557.5,769.5,10.0,,0.0
548345,292.5,630.5,10.0,,0.0
548346,489.5,680.5,10.0,,0.0
548347,495.0,638.0,10.0,,0.0
548348,333.5,677.5,10.0,,0.0
548349,417.0,715.0,10.0,,0.0
548350,556.5,674.5,10.0,,0.0
548351,265.0,558.5,10.0,,0.0
548352,394.0,631.0,10.0,,0.0
548353,355.5,682.5,10.0,,0.0
548354,608.5,776.5,10.0,,0.0
548355,378.0,820.5,10.0,,0.0
548356,531.5,636.5,10.0,,0.0
548357,561.5,610.5,10.0,,0.0
548358,465.5,583.5,10.0,,0.0
548359,485.0,648.0,10.0,,0.0
548360,365.0,604.0,10.0,,0.0
548361,183.0,532.0,10.0,,0.0
