ipl_season,sequence,eventid,innings,target,remainingballs,homescore,awayscore,fallofwickets,ball,over,scorevalue,validball,extras,dismissal,dismissaltype,batsmanid,batsman,batsmanteam,bowlerid,bowler,bowlerteam,otherathleteinvolvedid,otherathleteinvolved,nonstrikerid,nonstriker,runs,runrate
ipl20,100001,1254117,1st innings,0,119,1/0,0,0,1,0.1,1,0,0,False,,1060380,Ruturaj Gaikwad,Chennai Super Kings,56143,Shakib Al Hasan,Kolkata Knight Riders,,,44828,Faf du Plessis,1,6.0
ipl20,100002,1254117,1st innings,0,118,1/0,0,0,2,0.2,0,0,0,False,,44828,Faf du Plessis,Chennai Super Kings,56143,Shakib Al Hasan,Kolkata Knight Riders,,,1060380,Ruturaj Gaikwad,0,3.0
ipl20,100003,1254117,1st innings,0,117,2/0,0,0,3,0.3,1,0,0,False,,44828,Faf du Plessis,Chennai Super Kings,56143,Shakib Al Hasan,Kolkata Knight Riders,,,1060380,Ruturaj Gaikwad,1,4.0
ipl20,100004,1254117,1st innings,0,116,6/0,0,0,4,0.4,4,0,0,False,,1060380,Ruturaj Gaikwad,Chennai Super Kings,56143,Shakib Al Hasan,Kolkata Knight Riders,,,44828,Faf du Plessis,4,9.0
ipl20,100005,1254117,1st innings,0,115,6/0,0,0,5,0.5,0,0,0,False,,1060380,Ruturaj Gaikwad,Chennai Super Kings,56143,Shakib Al Hasan,Kolkata Knight Riders,,,44828,Faf du Plessis,0,7.2
ipl20,100006,1254117,1st innings,0,114,6/0,0,0,6,0.6,0,0,0,False,,1060380,Ruturaj Gaikwad,Chennai Super Kings,56143,Shakib Al Hasan,Kolkata Knight Riders,,,44828,Faf du Plessis,0,6.0
ipl20,100101,1254117,1st innings,0,113,6/0,0,0,7,1.1,0,0,0,False,,44828,Faf du Plessis,Chennai Super Kings,1079848,Shivam Mavi,Kolkata Knight Riders,,,1060380,Ruturaj Gaikwad,0,5.14
ipl20,100102,1254117,1st innings,0,112,7/0,0,0,8,1.2,1,0,0,False,,44828,Faf du Plessis,Chennai Super Kings,1079848,Shivam Mavi,Kolkata Knight Riders,,,1060380,Ruturaj Gaikwad,1,5.25
ipl20,100103,1254117,1st innings,0,111,9/0,0,0,9,1.3,2,0,0,False,,1060380,Ruturaj Gaikwad,Chennai Super Kings,1079848,Shivam Mavi,Kolkata Knight Riders,,,44828,Faf du Plessis,2,6.0
ipl20,100104,1254117,1st innings,0,110,9/0,0,0,10,1.4,0,0,0,False,,1060380,Ruturaj Gaikwad,Chennai Super Kings,1079848,Shivam Mavi,Kolkata Knight Riders,,,44828,Faf du Plessis,0,5.4
