ipl_season,sequence,eventid,innings,target,remainingballs,homescore,awayscore,fallofwickets,ball,over,scorevalue,validball,extras,dismissal,dismissaltype,batsmanid,batsman,batsmanteam,bowlerid,bowler,bowlerteam,otherathleteinvolvedid,otherathleteinvolved,nonstrikerid,nonstriker,runs,runrate
ipl20,100001,1254115,1st innings,0,119,1/0,0,0,1,0.1,1,0,0,False,,1119026,Devdutt Padikkal,Royal Challengers Bangalore,56143,Shakib Al Hasan,Kolkata Knight Riders,,,253802,Virat Kohli,1,6.0
ipl20,100002,1254115,1st innings,0,118,2/0,0,0,2,0.2,1,0,0,False,,253802,Virat Kohli,Royal Challengers Bangalore,56143,Shakib Al Hasan,Kolkata Knight Riders,,,1119026,Devdutt Padikkal,1,6.0
ipl20,100003,1254115,1st innings,0,117,3/0,0,0,3,0.3,1,0,0,False,,1119026,Devdutt Padikkal,Royal Challengers Bangalore,56143,Shakib Al Hasan,Kolkata Knight Riders,,,253802,Virat Kohli,1,6.0
ipl20,100004,1254115,1st innings,0,116,3/0,0,0,4,0.4,0,0,0,False,,253802,Virat Kohli,Royal Challengers Bangalore,56143,Shakib Al Hasan,Kolkata Knight Riders,,,1119026,Devdutt Padikkal,0,4.5
ipl20,100005,1254115,1st innings,0,115,3/0,0,0,5,0.5,0,0,0,False,,253802,Virat Kohli,Royal Challengers Bangalore,56143,Shakib Al Hasan,Kolkata Knight Riders,,,1119026,Devdutt Padikkal,0,3.6
ipl20,100006,1254115,1st innings,0,114,7/0,0,0,6,0.6,4,0,0,False,,253802,Virat Kohli,Royal Challengers Bangalore,56143,Shakib Al Hasan,Kolkata Knight Riders,,,1119026,Devdutt Padikkal,4,7.0
ipl20,100101,1254115,1st innings,0,113,7/0,0,0,7,1.1,0,0,0,False,,1119026,Devdutt Padikkal,Royal Challengers Bangalore,1079848,Shivam Mavi,Kolkata Knight Riders,,,253802,Virat Kohli,0,6.0
ipl20,100102,1254115,1st innings,0,112,7/0,0,0,8,1.2,0,0,0,False,,1119026,Devdutt Padikkal,Royal Challengers Bangalore,1079848,Shivam Mavi,Kolkata Knight Riders,,,253802,Virat Kohli,0,5.25
ipl20,100103,1254115,1st innings,0,111,8/0,0,0,9,1.3,1,0,0,False,,1119026,Devdutt Padikkal,Royal Challengers Bangalore,1079848,Shivam Mavi,Kolkata Knight Riders,,,253802,Virat Kohli,1,5.33
ipl20,100104,1254115,1st innings,0,110,8/0,0,0,10,1.4,0,0,0,False,,253802,Virat Kohli,Royal Challengers Bangalore,1079848,Shivam Mavi,Kolkata Knight Riders,,,1119026,Devdutt Padikkal,0,4.8
ipl20,100105,1254115,1st innings,0,109,8/0,0,0,11,1.5,0,0,0,False,,253802,Virat Kohli,Royal Challengers Bangalore,1079848,Shivam Mavi,Kolkata Knight Riders,,,1119026,Devdutt Padikkal,0,4.36
ipl20,100106,1254115,1st innings,0,109,13/0,0,0,11,1.5,5,1,1,False,,253802,Virat Kohli,Royal Challengers Bangalore,1079848,Shivam Mavi,Kolkata Knight Riders,,,1119026,Devdutt Padikkal,5,7.09
ipl20,100107,1254115,1st innings,0,108,17/0,0,0,12,1.6,4,0,0,False,,253802,Virat Kohli,Royal Challengers Bangalore,1079848,Shivam Mavi,Kolkata Knight Riders,,,1119026,Devdutt Padikkal,4,8.5
ipl20,100201,1254115,1st innings,0,107,18/0,0,0,13,2.1,1,0,0,False,,1119026,Devdutt Padikkal,Royal Challengers Bangalore,1108375,Varun Chakravarthy,Kolkata Knight Riders,,,253802,Virat Kohli,1,8.3
ipl20,100202,1254115,1st innings,0,106,19/0,0,0,14,2.2,1,0,0,False,,253802,Virat Kohli,Royal Challengers Bangalore,1108375,Varun Chakravarthy,Kolkata Knight Riders,,,1119026,Devdutt Padikkal,1,8.14
ipl20,100203,1254115,1st innings,0,105,21/0,0,0,15,2.3,2,0,0,False,,1119026,Devdutt Padikkal,Royal Challengers Bangalore,1108375,Varun Chakravarthy,Kolkata Knight Riders,,,253802,Virat Kohli,2,8.4
ipl20,100204,1254115,1st innings,0,104,22/0,0,0,16,2.4,1,0,0,False,,1119026,Devdutt Padikkal,Royal Challengers Bangalore,1108375,Varun Chakravarthy,Kolkata Knight Riders,,,253802,Virat Kohli,1,8.25
ipl20,100205,1254115,1st innings,0,103,23/0,0,0,17,2.5,1,0,0,False,,253802,Virat Kohli,Royal Challengers Bangalore,1108375,Varun Chakravarthy,Kolkata Knight Riders,,,1119026,Devdutt Padikkal,1,8.11
ipl20,100206,1254115,1st innings,0,102,24/0,0,0,18,2.6,1,0,0,False,,1119026,Devdutt Padikkal,Royal Challengers Bangalore,1108375,Varun Chakravarthy,Kolkata Knight Riders,,,253802,Virat Kohli,1,8.0
ipl20,100301,1254115,1st innings,0,101,28/0,0,0,19,3.1,4,0,0,False,,1119026,Devdutt Padikkal,Royal Challengers Bangalore,493773,Lockie Ferguson,Kolkata Knight Riders,,,253802,Virat Kohli,4,8.84
ipl20,100302,1254115,1st innings,0,100,28/0,0,0,20,3.2,0,0,0,False,,1119026,Devdutt Padikkal,Royal Challengers Bangalore,493773,Lockie Ferguson,Kolkata Knight Riders,,,253802,Virat Kohli,0,8.4
ipl20,100303,1254115,1st innings,0,99,29/0,0,0,21,3.3,1,0,0,False,,1119026,Devdutt Padikkal,Royal Challengers Bangalore,493773,Lockie Ferguson,Kolkata Knight Riders,,,253802,Virat Kohli,1,8.28
ipl20,100304,1254115,1st innings,0,98,30/0,0,0,22,3.4,1,0,0,False,,253802,Virat Kohli,Royal Challengers Bangalore,493773,Lockie Ferguson,Kolkata Knight Riders,,,1119026,Devdutt Padikkal,1,8.18
ipl20,100305,1254115,1st innings,0,97,34/0,0,0,23,3.5,4,0,0,False,,1119026,Devdutt Padikkal,Royal Challengers Bangalore,493773,Lockie Ferguson,Kolkata Knight Riders,,,253802,Virat Kohli,4,8.86
ipl20,100306,1254115,1st innings,0,96,36/0,0,0,24,3.6,2,0,0,False,,1119026,Devdutt Padikkal,Royal Challengers Bangalore,493773,Lockie Ferguson,Kolkata Knight Riders,,,253802,Virat Kohli,2,9.0
ipl20,100401,1254115,1st innings,0,95,40/0,0,0,25,4.1,4,0,0,False,,253802,Virat Kohli,Royal Challengers Bangalore,1079848,Shivam Mavi,Kolkata Knight Riders,,,1119026,Devdutt Padikkal,4,9.6
ipl20,100402,1254115,1st innings,0,94,41/0,0,0,26,4.2,1,0,0,False,,253802,Virat Kohli,Royal Challengers Bangalore,1079848,Shivam Mavi,Kolkata Knight Riders,,,1119026,Devdutt Padikkal,1,9.46
ipl20,100403,1254115,1st innings,0,93,45/0,0,0,27,4.3,4,0,4,False,,1119026,Devdutt Padikkal,Royal Challengers Bangalore,1079848,Shivam Mavi,Kolkata Knight Riders,,,253802,Virat Kohli,4,10.0
ipl20,100404,1254115,1st innings,0,93,46/0,0,0,27,4.3,1,1,1,False,,1119026,Devdutt Padikkal,Royal Challengers Bangalore,1079848,Shivam Mavi,Kolkata Knight Riders,,,253802,Virat Kohli,1,10.22
ipl20,100405,1254115,1st innings,0,92,47/0,0,0,28,4.4,1,0,0,False,,1119026,Devdutt Padikkal,Royal Challengers Bangalore,1079848,Shivam Mavi,Kolkata Knight Riders,,,253802,Virat Kohli,1,10.07
ipl20,100406,1254115,1st innings,0,91,48/0,0,0,29,4.5,1,0,0,False,,253802,Virat Kohli,Royal Challengers Bangalore,1079848,Shivam Mavi,Kolkata Knight Riders,,,1119026,Devdutt Padikkal,1,9.93
ipl20,100407,1254115,1st innings,0,90,49/0,0,0,30,4.6,1,0,0,False,,1119026,Devdutt Padikkal,Royal Challengers Bangalore,1079848,Shivam Mavi,Kolkata Knight Riders,,,253802,Virat Kohli,1,9.8
ipl20,100501,1254115,1st innings,0,89,49/1,0,1,31,5.1,0,0,0,True,bowled,1119026,Devdutt Padikkal,Royal Challengers Bangalore,493773,Lockie Ferguson,Kolkata Knight Riders,1119026,Devdutt Padikkal,253802,Virat Kohli,0,9.48
ipl20,100502,1254115,1st innings,0,88,49/1,0,0,32,5.2,0,0,0,False,,529436,Srikar Bharat,Royal Challengers Bangalore,493773,Lockie Ferguson,Kolkata Knight Riders,,,253802,Virat Kohli,0,9.18
ipl20,100503,1254115,1st innings,0,87,50/1,0,0,33,5.3,1,0,0,False,,529436,Srikar Bharat,Royal Challengers Bangalore,493773,Lockie Ferguson,Kolkata Knight Riders,,,253802,Virat Kohli,1,9.09
ipl20,100504,1254115,1st innings,0,86,51/1,0,0,34,5.4,1,0,0,False,,253802,Virat Kohli,Royal Challengers Bangalore,493773,Lockie Ferguson,Kolkata Knight Riders,,,529436,Srikar Bharat,1,9.0
ipl20,100505,1254115,1st innings,0,85,52/1,0,0,35,5.5,1,0,0,False,,529436,Srikar Bharat,Royal Challengers Bangalore,493773,Lockie Ferguson,Kolkata Knight Riders,,,253802,Virat Kohli,1,8.91
ipl20,100506,1254115,1st innings,0,84,53/1,0,0,36,5.6,1,0,0,False,,253802,Virat Kohli,Royal Challengers Bangalore,493773,Lockie Ferguson,Kolkata Knight Riders,,,529436,Srikar Bharat,1,8.83
ipl20,100601,1254115,1st innings,0,83,54/1,0,0,37,6.1,1,0,0,False,,253802,Virat Kohli,Royal Challengers Bangalore,56143,Shakib Al Hasan,Kolkata Knight Riders,,,529436,Srikar Bharat,1,8.75
ipl20,100602,1254115,1st innings,0,82,55/1,0,0,38,6.2,1,0,0,False,,529436,Srikar Bharat,Royal Challengers Bangalore,56143,Shakib Al Hasan,Kolkata Knight Riders,,,253802,Virat Kohli,1,8.68
ipl20,100603,1254115,1st innings,0,81,55/1,0,0,39,6.3,0,0,0,False,,253802,Virat Kohli,Royal Challengers Bangalore,56143,Shakib Al Hasan,Kolkata Knight Riders,,,529436,Srikar Bharat,0,8.46
ipl20,100604,1254115,1st innings,0,80,56/1,0,0,40,6.4,1,0,0,False,,253802,Virat Kohli,Royal Challengers Bangalore,56143,Shakib Al Hasan,Kolkata Knight Riders,,,529436,Srikar Bharat,1,8.4
ipl20,100605,1254115,1st innings,0,79,56/1,0,0,41,6.5,0,0,0,False,,529436,Srikar Bharat,Royal Challengers Bangalore,56143,Shakib Al Hasan,Kolkata Knight Riders,,,253802,Virat Kohli,0,8.19
ipl20,100606,1254115,1st innings,0,78,57/1,0,0,42,6.6,1,0,0,False,,529436,Srikar Bharat,Royal Challengers Bangalore,56143,Shakib Al Hasan,Kolkata Knight Riders,,,253802,Virat Kohli,1,8.14
ipl20,100701,1254115,1st innings,0,77,58/1,0,0,43,7.1,1,0,0,False,,529436,Srikar Bharat,Royal Challengers Bangalore,1108375,Varun Chakravarthy,Kolkata Knight Riders,,,253802,Virat Kohli,1,8.09
ipl20,100702,1254115,1st innings,0,76,59/1,0,0,44,7.2,1,0,0,False,,253802,Virat Kohli,Royal Challengers Bangalore,1108375,Varun Chakravarthy,Kolkata Knight Riders,,,529436,Srikar Bharat,1,8.04
ipl20,100703,1254115,1st innings,0,75,60/1,0,0,45,7.3,1,0,1,False,,529436,Srikar Bharat,Royal Challengers Bangalore,1108375,Varun Chakravarthy,Kolkata Knight Riders,,,253802,Virat Kohli,1,8.0
ipl20,100704,1254115,1st innings,0,74,61/1,0,0,46,7.4,1,0,0,False,,253802,Virat Kohli,Royal Challengers Bangalore,1108375,Varun Chakravarthy,Kolkata Knight Riders,,,529436,Srikar Bharat,1,7.95
ipl20,100705,1254115,1st innings,0,73,61/1,0,0,47,7.5,0,0,0,False,,529436,Srikar Bharat,Royal Challengers Bangalore,1108375,Varun Chakravarthy,Kolkata Knight Riders,,,253802,Virat Kohli,0,7.78
ipl20,100706,1254115,1st innings,0,72,62/1,0,0,48,7.6,1,0,0,False,,529436,Srikar Bharat,Royal Challengers Bangalore,1108375,Varun Chakravarthy,Kolkata Knight Riders,,,253802,Virat Kohli,1,7.75
ipl20,100801,1254115,1st innings,0,71,62/1,0,0,49,8.1,0,0,0,False,,529436,Srikar Bharat,Royal Challengers Bangalore,56143,Shakib Al Hasan,Kolkata Knight Riders,,,253802,Virat Kohli,0,7.59
ipl20,100802,1254115,1st innings,0,70,63/1,0,0,50,8.2,1,0,0,False,,529436,Srikar Bharat,Royal Challengers Bangalore,56143,Shakib Al Hasan,Kolkata Knight Riders,,,253802,Virat Kohli,1,7.56
ipl20,100803,1254115,1st innings,0,69,64/1,0,0,51,8.3,1,0,0,False,,253802,Virat Kohli,Royal Challengers Bangalore,56143,Shakib Al Hasan,Kolkata Knight Riders,,,529436,Srikar Bharat,1,7.52
ipl20,100804,1254115,1st innings,0,68,64/1,0,0,52,8.4,0,0,0,False,,529436,Srikar Bharat,Royal Challengers Bangalore,56143,Shakib Al Hasan,Kolkata Knight Riders,,,253802,Virat Kohli,0,7.38
ipl20,100805,1254115,1st innings,0,67,65/1,0,0,53,8.5,1,0,0,False,,529436,Srikar Bharat,Royal Challengers Bangalore,56143,Shakib Al Hasan,Kolkata Knight Riders,,,253802,Virat Kohli,1,7.35
ipl20,100806,1254115,1st innings,0,66,66/1,0,0,54,8.6,1,0,0,False,,253802,Virat Kohli,Royal Challengers Bangalore,56143,Shakib Al Hasan,Kolkata Knight Riders,,,529436,Srikar Bharat,1,7.33
ipl20,100901,1254115,1st innings,0,65,67/1,0,0,55,9.1,1,0,0,False,,253802,Virat Kohli,Royal Challengers Bangalore,230558,Sunil Narine,Kolkata Knight Riders,,,529436,Srikar Bharat,1,7.3
ipl20,100902,1254115,1st innings,0,64,68/1,0,0,56,9.2,1,0,0,False,,529436,Srikar Bharat,Royal Challengers Bangalore,230558,Sunil Narine,Kolkata Knight Riders,,,253802,Virat Kohli,1,7.28
ipl20,100903,1254115,1st innings,0,63,69/1,0,0,57,9.3,1,0,0,False,,253802,Virat Kohli,Royal Challengers Bangalore,230558,Sunil Narine,Kolkata Knight Riders,,,529436,Srikar Bharat,1,7.26
