date,matchid,innings,target,fallofwickets,ball,over,scorevalue,validball,extras,extratype,batsmanname,batsmanscorevalue,bowlername,nonstrikername,totalruns,dismissal,dismissedtype,dismissedplayer,battingteam,bowlingteam
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,31,5.1,0,0,0,Nan,F du Plessis,0,Varun Chakravarthy,AS Raut,42,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,32,5.2,1,0,0,Nan,F du Plessis,1,Varun Chakravarthy,AS Raut,43,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,33,5.3,0,0,0,Nan,AS Raut,0,Varun Chakravarthy,F du Plessis,43,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,34,5.4,1,0,0,Nan,AS Raut,1,Varun Chakravarthy,F du Plessis,44,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,34,5.4,1,1,1,Nan,F du Plessis,1,Varun Chakravarthy,AS Raut,45,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,35,5.5,4,0,0,Nan,F du Plessis,4,Varun Chakravarthy,AS Raut,49,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,36,5.6,1,0,0,Nan,F du Plessis,1,Varun Chakravarthy,AS Raut,50,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,37,6.1,1,0,0,Nan,F du Plessis,1,SP Narine,AS Raut,51,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,38,6.2,1,0,0,Nan,AS Raut,1,SP Narine,F du Plessis,52,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,39,6.3,1,0,0,Nan,F du Plessis,1,SP Narine,AS Raut,53,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,40,6.4,1,0,0,Nan,AS Raut,1,SP Narine,F du Plessis,54,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,41,6.5,1,0,0,Nan,F du Plessis,1,SP Narine,AS Raut,55,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,42,6.6,1,0,0,Nan,AS Raut,1,SP Narine,F du Plessis,56,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,43,7.1,0,0,0,Nan,AS Raut,0,Varun Chakravarthy,F du Plessis,56,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,44,7.2,1,0,0,Nan,AS Raut,1,Varun Chakravarthy,F du Plessis,57,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,45,7.3,1,0,0,Nan,F du Plessis,1,Varun Chakravarthy,AS Raut,58,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,46,7.4,1,0,0,Nan,AS Raut,1,Varun Chakravarthy,F du Plessis,59,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,47,7.5,1,0,0,Nan,F du Plessis,1,Varun Chakravarthy,AS Raut,60,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,48,7.6,1,0,0,Nan,AS Raut,1,Varun Chakravarthy,F du Plessis,61,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,1,49,8.1,0,0,0,Nan,AS Raut,0,SP Narine,F du Plessis,61,True,caught,AS Raut,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,50,8.2,1,0,0,Nan,RV Uthappa,1,SP Narine,F du Plessis,62,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,51,8.3,1,0,0,Nan,F du Plessis,1,SP Narine,RV Uthappa,63,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,52,8.4,1,0,0,Nan,RV Uthappa,1,SP Narine,F du Plessis,64,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,53,8.5,0,0,0,Nan,F du Plessis,0,SP Narine,RV Uthappa,64,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,54,8.6,1,0,0,Nan,F du Plessis,1,SP Narine,RV Uthappa,65,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,55,9.1,1,0,0,Nan,F du Plessis,1,Shakib Al Hasan,RV Uthappa,66,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,56,9.2,1,0,0,Nan,RV Uthappa,1,Shakib Al Hasan,F du Plessis,67,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,57,9.3,0,0,0,Nan,F du Plessis,0,Shakib Al Hasan,RV Uthappa,67,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,58,9.4,6,0,0,Nan,F du Plessis,6,Shakib Al Hasan,RV Uthappa,73,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,59,9.5,1,0,0,Nan,F du Plessis,1,Shakib Al Hasan,RV Uthappa,74,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,60,9.6,6,0,0,Nan,RV Uthappa,6,Shakib Al Hasan,F du Plessis,80,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,61,10.1,0,0,0,Nan,F du Plessis,0,LH Ferguson,RV Uthappa,80,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,62,10.2,4,0,0,Nan,F du Plessis,4,LH Ferguson,RV Uthappa,84,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,63,10.3,4,0,0,Nan,F du Plessis,4,LH Ferguson,RV Uthappa,88,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,64,10.4,1,0,0,Nan,F du Plessis,1,LH Ferguson,RV Uthappa,89,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,65,10.5,1,0,0,Nan,RV Uthappa,1,LH Ferguson,F du Plessis,90,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,65,10.5,1,1,1,Nan,F du Plessis,1,LH Ferguson,RV Uthappa,91,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,66,10.6,6,0,0,Nan,F du Plessis,6,LH Ferguson,RV Uthappa,97,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,67,11.1,2,0,0,Nan,RV Uthappa,2,SP Narine,F du Plessis,99,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,68,11.2,0,0,0,Nan,RV Uthappa,0,SP Narine,F du Plessis,99,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,69,11.3,1,0,0,Nan,RV Uthappa,1,SP Narine,F du Plessis,100,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,70,11.4,1,0,0,Nan,F du Plessis,1,SP Narine,RV Uthappa,101,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,71,11.5,1,0,0,Nan,RV Uthappa,1,SP Narine,F du Plessis,102,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,72,11.6,2,0,0,Nan,F du Plessis,2,SP Narine,RV Uthappa,104,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,73,12.1,2,0,0,Nan,RV Uthappa,2,Varun Chakravarthy,F du Plessis,106,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,74,12.2,6,0,0,Nan,RV Uthappa,6,Varun Chakravarthy,F du Plessis,112,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,75,12.3,1,0,0,Nan,RV Uthappa,1,Varun Chakravarthy,F du Plessis,113,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,76,12.4,0,0,0,Nan,F du Plessis,0,Varun Chakravarthy,RV Uthappa,113,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,77,12.5,1,0,0,Nan,F du Plessis,1,Varun Chakravarthy,RV Uthappa,114,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,78,12.6,2,0,0,Nan,RV Uthappa,2,Varun Chakravarthy,F du Plessis,116,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,79,13.1,1,0,0,Nan,F du Plessis,1,SP Narine,RV Uthappa,117,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,79,13.1,1,1,1,Nan,RV Uthappa,1,SP Narine,F du Plessis,118,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,80,13.2,6,0,0,Nan,RV Uthappa,6,SP Narine,F du Plessis,124,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,2,81,13.3,0,0,0,Nan,RV Uthappa,0,SP Narine,F du Plessis,124,True,leg before wicket,RV Uthappa,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,82,13.4,1,0,0,Nan,MM Ali,1,SP Narine,F du Plessis,125,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,83,13.5,0,0,0,Nan,F du Plessis,0,SP Narine,MM Ali,125,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,84,13.6,0,0,0,Nan,F du Plessis,0,SP Narine,MM Ali,125,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,85,14.1,0,0,0,Nan,MM Ali,0,Venkatesh Iyer,F du Plessis,125,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,86,14.2,1,0,0,Nan,MM Ali,1,Venkatesh Iyer,F du Plessis,126,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,87,14.3,1,0,0,Nan,F du Plessis,1,Venkatesh Iyer,MM Ali,127,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,88,14.4,1,0,1,Nan,MM Ali,1,Venkatesh Iyer,F du Plessis,128,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,89,14.5,2,0,0,Nan,F du Plessis,2,Venkatesh Iyer,MM Ali,130,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,90,14.6,1,0,0,Nan,F du Plessis,1,Venkatesh Iyer,MM Ali,131,False,,,Chennai Super Kings,Kolkata Knight Riders
