ipl_season,sequence,eventid,innings,target,remainingballs,homescore,awayscore,fallofwickets,ball,over,scorevalue,validball,extras,dismissal,dismissaltype,batsmanid,batsman,batsmanteam,bowlerid,bowler,bowlerteam,otherathleteinvolvedid,otherathleteinvolved,nonstrikerid,nonstriker,runs,runrate
ipl20,100001,1254114,1st innings,0,119,0/0,0,0,1,0.1,0,0,0,False,,1070168,Prithvi Shaw,Delhi Capitals,447261,Deepak Chahar,Chennai Super Kings,,,28235,Shikhar Dhawan,0,0.0
ipl20,100002,1254114,1st innings,0,118,1/0,0,0,2,0.2,1,0,0,False,,1070168,Prithvi Shaw,Delhi Capitals,447261,Deepak Chahar,Chennai Super Kings,,,28235,Shikhar Dhawan,1,3.0
ipl20,100003,1254114,1st innings,0,117,1/0,0,0,3,0.3,0,0,0,False,,28235,Shikhar Dhawan,Delhi Capitals,447261,Deepak Chahar,Chennai Super Kings,,,1070168,Prithvi Shaw,0,2.0
ipl20,100004,1254114,1st innings,0,116,1/0,0,0,4,0.4,0,0,0,False,,28235,Shikhar Dhawan,Delhi Capitals,447261,Deepak Chahar,Chennai Super Kings,,,1070168,Prithvi Shaw,0,1.5
ipl20,100005,1254114,1st innings,0,115,2/0,0,0,5,0.5,1,0,0,False,,28235,Shikhar Dhawan,Delhi Capitals,447261,Deepak Chahar,Chennai Super Kings,,,1070168,Prithvi Shaw,1,2.4
ipl20,100006,1254114,1st innings,0,114,3/0,0,0,6,0.6,1,0,0,False,,1070168,Prithvi Shaw,Delhi Capitals,447261,Deepak Chahar,Chennai Super Kings,,,28235,Shikhar Dhawan,1,3.0
ipl20,100101,1254114,1st innings,0,113,3/0,0,0,7,1.1,0,0,0,False,,1070168,Prithvi Shaw,Delhi Capitals,288284,Josh Hazlewood,Chennai Super Kings,,,28235,Shikhar Dhawan,0,2.57
ipl20,100102,1254114,1st innings,0,112,3/0,0,0,8,1.2,0,0,0,False,,1070168,Prithvi Shaw,Delhi Capitals,288284,Josh Hazlewood,Chennai Super Kings,,,28235,Shikhar Dhawan,0,2.25
ipl20,100103,1254114,1st innings,0,111,7/0,0,0,9,1.3,4,0,0,False,,1070168,Prithvi Shaw,Delhi Capitals,288284,Josh Hazlewood,Chennai Super Kings,,,28235,Shikhar Dhawan,4,4.66
ipl20,100104,1254114,1st innings,0,110,8/0,0,0,10,1.4,1,0,0,False,,1070168,Prithvi Shaw,Delhi Capitals,288284,Josh Hazlewood,Chennai Super Kings,,,28235,Shikhar Dhawan,1,4.8
ipl20,100105,1254114,1st innings,0,109,9/0,0,0,11,1.5,1,0,0,False,,28235,Shikhar Dhawan,Delhi Capitals,288284,Josh Hazlewood,Chennai Super Kings,,,1070168,Prithvi Shaw,1,4.9
ipl20,100106,1254114,1st innings,0,108,15/0,0,0,12,1.6,6,0,0,False,,1070168,Prithvi Shaw,Delhi Capitals,288284,Josh Hazlewood,Chennai Super Kings,,,28235,Shikhar Dhawan,6,7.5
ipl20,100201,1254114,1st innings,0,107,16/0,0,0,13,2.1,1,0,0,False,,28235,Shikhar Dhawan,Delhi Capitals,447261,Deepak Chahar,Chennai Super Kings,,,1070168,Prithvi Shaw,1,7.38
ipl20,100202,1254114,1st innings,0,106,20/0,0,0,14,2.2,4,0,0,False,,1070168,Prithvi Shaw,Delhi Capitals,447261,Deepak Chahar,Chennai Super Kings,,,28235,Shikhar Dhawan,4,8.57
ipl20,100203,1254114,1st innings,0,105,24/0,0,0,15,2.3,4,0,0,False,,1070168,Prithvi Shaw,Delhi Capitals,447261,Deepak Chahar,Chennai Super Kings,,,28235,Shikhar Dhawan,4,9.6
