ipl_season,sequence,eventid,innings,target,remainingballs,homescore,awayscore,fallofwickets,ball,over,scorevalue,validball,extras,dismissal,dismissaltype,batsmanid,batsman,batsmanteam,bowlerid,bowler,bowlerteam,otherathleteinvolvedid,otherathleteinvolved,nonstrikerid,nonstriker,runs,runrate
ipl20,100001,1254116,1st innings,0,119,0/0,0,0,1,0.1,0,0,0,False,,1070168,Prithvi Shaw,Delhi Capitals,56143,Shakib Al Hasan,Kolkata Knight Riders,,,28235,Shikhar Dhawan,0,0.0
ipl20,100002,1254116,1st innings,0,118,1/0,0,0,2,0.2,1,0,0,False,,1070168,Prithvi Shaw,Delhi Capitals,56143,Shakib Al Hasan,Kolkata Knight Riders,,,28235,Shikhar Dhawan,1,3.0
ipl20,100003,1254116,1st innings,0,117,1/0,0,0,3,0.3,0,0,0,False,,28235,Shikhar Dhawan,Delhi Capitals,56143,Shakib Al Hasan,Kolkata Knight Riders,,,1070168,Prithvi Shaw,0,2.0
ipl20,100004,1254116,1st innings,0,116,1/0,0,0,4,0.4,0,0,0,False,,28235,Shikhar Dhawan,Delhi Capitals,56143,Shakib Al Hasan,Kolkata Knight Riders,,,1070168,Prithvi Shaw,0,1.5
ipl20,100005,1254116,1st innings,0,115,1/0,0,0,5,0.5,0,0,0,False,,28235,Shikhar Dhawan,Delhi Capitals,56143,Shakib Al Hasan,Kolkata Knight Riders,,,1070168,Prithvi Shaw,0,1.2
ipl20,100006,1254116,1st innings,0,114,1/0,0,0,6,0.6,0,0,0,False,,28235,Shikhar Dhawan,Delhi Capitals,56143,Shakib Al Hasan,Kolkata Knight Riders,,,1070168,Prithvi Shaw,0,1.0
ipl20,100101,1254116,1st innings,0,113,5/0,0,0,7,1.1,4,0,0,False,,1070168,Prithvi Shaw,Delhi Capitals,493773,Lockie Ferguson,Kolkata Knight Riders,,,28235,Shikhar Dhawan,4,4.28
ipl20,100102,1254116,1st innings,0,112,5/0,0,0,8,1.2,0,0,0,False,,1070168,Prithvi Shaw,Delhi Capitals,493773,Lockie Ferguson,Kolkata Knight Riders,,,28235,Shikhar Dhawan,0,3.75
ipl20,100103,1254116,1st innings,0,111,6/0,0,0,9,1.3,1,0,0,False,,1070168,Prithvi Shaw,Delhi Capitals,493773,Lockie Ferguson,Kolkata Knight Riders,,,28235,Shikhar Dhawan,1,4.0
ipl20,100104,1254116,1st innings,0,110,6/0,0,0,10,1.4,0,0,0,False,,28235,Shikhar Dhawan,Delhi Capitals,493773,Lockie Ferguson,Kolkata Knight Riders,,,1070168,Prithvi Shaw,0,3.6
ipl20,100105,1254116,1st innings,0,109,6/0,0,0,11,1.5,0,0,0,False,,28235,Shikhar Dhawan,Delhi Capitals,493773,Lockie Ferguson,Kolkata Knight Riders,,,1070168,Prithvi Shaw,0,3.27
ipl20,100106,1254116,1st innings,0,108,6/0,0,0,12,1.6,0,0,0,False,,28235,Shikhar Dhawan,Delhi Capitals,493773,Lockie Ferguson,Kolkata Knight Riders,,,1070168,Prithvi Shaw,0,3.0
ipl20,100201,1254116,1st innings,0,107,12/0,0,0,13,2.1,6,0,0,False,,1070168,Prithvi Shaw,Delhi Capitals,56143,Shakib Al Hasan,Kolkata Knight Riders,,,28235,Shikhar Dhawan,6,5.53
ipl20,100202,1254116,1st innings,0,106,16/0,0,0,14,2.2,4,0,0,False,,1070168,Prithvi Shaw,Delhi Capitals,56143,Shakib Al Hasan,Kolkata Knight Riders,,,28235,Shikhar Dhawan,4,6.85
ipl20,100203,1254116,1st innings,0,105,16/0,0,0,15,2.3,0,0,0,False,,1070168,Prithvi Shaw,Delhi Capitals,56143,Shakib Al Hasan,Kolkata Knight Riders,,,28235,Shikhar Dhawan,0,6.4
ipl20,100204,1254116,1st innings,0,104,17/0,0,0,16,2.4,1,0,0,False,,1070168,Prithvi Shaw,Delhi Capitals,56143,Shakib Al Hasan,Kolkata Knight Riders,,,28235,Shikhar Dhawan,1,6.37
ipl20,100205,1254116,1st innings,0,103,18/0,0,0,17,2.5,1,0,0,False,,28235,Shikhar Dhawan,Delhi Capitals,56143,Shakib Al Hasan,Kolkata Knight Riders,,,1070168,Prithvi Shaw,1,6.35
ipl20,100206,1254116,1st innings,0,102,18/0,0,0,18,2.6,0,0,0,False,,1070168,Prithvi Shaw,Delhi Capitals,56143,Shakib Al Hasan,Kolkata Knight Riders,,,28235,Shikhar Dhawan,0,6.0
ipl20,100301,1254116,1st innings,0,101,18/0,0,0,19,3.1,0,0,0,False,,28235,Shikhar Dhawan,Delhi Capitals,230558,Sunil Narine,Kolkata Knight Riders,,,1070168,Prithvi Shaw,0,5.68
ipl20,100302,1254116,1st innings,0,100,24/0,0,0,20,3.2,6,0,0,False,,28235,Shikhar Dhawan,Delhi Capitals,230558,Sunil Narine,Kolkata Knight Riders,,,1070168,Prithvi Shaw,6,7.2
ipl20,100303,1254116,1st innings,0,99,30/0,0,0,21,3.3,6,0,0,False,,28235,Shikhar Dhawan,Delhi Capitals,230558,Sunil Narine,Kolkata Knight Riders,,,1070168,Prithvi Shaw,6,8.57
ipl20,100304,1254116,1st innings,0,98,31/0,0,0,22,3.4,1,0,0,False,,28235,Shikhar Dhawan,Delhi Capitals,230558,Sunil Narine,Kolkata Knight Riders,,,1070168,Prithvi Shaw,1,8.45
ipl20,100305,1254116,1st innings,0,97,32/0,0,0,23,3.5,1,0,0,False,,1070168,Prithvi Shaw,Delhi Capitals,230558,Sunil Narine,Kolkata Knight Riders,,,28235,Shikhar Dhawan,1,8.34
ipl20,100306,1254116,1st innings,0,96,32/0,0,0,24,3.6,0,0,0,False,,28235,Shikhar Dhawan,Delhi Capitals,230558,Sunil Narine,Kolkata Knight Riders,,,1070168,Prithvi Shaw,0,8.0
ipl20,100401,1254116,1st innings,0,95,32/1,0,1,25,4.1,0,0,0,True,leg before wicket,1070168,Prithvi Shaw,Delhi Capitals,1108375,Varun Chakravarthy,Kolkata Knight Riders,1070168,Prithvi Shaw,28235,Shikhar Dhawan,0,7.68
ipl20,100402,1254116,1st innings,0,94,32/1,0,0,26,4.2,0,0,0,False,,325012,Marcus Stoinis,Delhi Capitals,1108375,Varun Chakravarthy,Kolkata Knight Riders,,,28235,Shikhar Dhawan,0,7.38
ipl20,100403,1254116,1st innings,0,93,32/1,0,0,27,4.3,0,0,0,False,,325012,Marcus Stoinis,Delhi Capitals,1108375,Varun Chakravarthy,Kolkata Knight Riders,,,28235,Shikhar Dhawan,0,7.11
ipl20,100404,1254116,1st innings,0,92,33/1,0,0,28,4.4,1,0,0,False,,325012,Marcus Stoinis,Delhi Capitals,1108375,Varun Chakravarthy,Kolkata Knight Riders,,,28235,Shikhar Dhawan,1,7.07
ipl20,100405,1254116,1st innings,0,91,33/1,0,0,29,4.5,0,0,0,False,,28235,Shikhar Dhawan,Delhi Capitals,1108375,Varun Chakravarthy,Kolkata Knight Riders,,,325012,Marcus Stoinis,0,6.82
ipl20,100406,1254116,1st innings,0,90,34/1,0,0,30,4.6,1,0,0,False,,28235,Shikhar Dhawan,Delhi Capitals,1108375,Varun Chakravarthy,Kolkata Knight Riders,,,325012,Marcus Stoinis,1,6.8
ipl20,100501,1254116,1st innings,0,89,35/1,0,0,31,5.1,1,0,0,False,,28235,Shikhar Dhawan,Delhi Capitals,493773,Lockie Ferguson,Kolkata Knight Riders,,,325012,Marcus Stoinis,1,6.77
ipl20,100502,1254116,1st innings,0,88,36/1,0,0,32,5.2,1,0,0,False,,325012,Marcus Stoinis,Delhi Capitals,493773,Lockie Ferguson,Kolkata Knight Riders,,,28235,Shikhar Dhawan,1,6.75
ipl20,100503,1254116,1st innings,0,87,36/1,0,0,33,5.3,0,0,0,False,,28235,Shikhar Dhawan,Delhi Capitals,493773,Lockie Ferguson,Kolkata Knight Riders,,,325012,Marcus Stoinis,0,6.54
ipl20,100504,1254116,1st innings,0,86,36/1,0,0,34,5.4,0,0,0,False,,28235,Shikhar Dhawan,Delhi Capitals,493773,Lockie Ferguson,Kolkata Knight Riders,,,325012,Marcus Stoinis,0,6.35
ipl20,100505,1254116,1st innings,0,85,37/1,0,0,35,5.5,1,0,0,False,,28235,Shikhar Dhawan,Delhi Capitals,493773,Lockie Ferguson,Kolkata Knight Riders,,,325012,Marcus Stoinis,1,6.34
ipl20,100506,1254116,1st innings,0,84,38/1,0,0,36,5.6,1,0,0,False,,325012,Marcus Stoinis,Delhi Capitals,493773,Lockie Ferguson,Kolkata Knight Riders,,,28235,Shikhar Dhawan,1,6.33
ipl20,100601,1254116,1st innings,0,83,39/1,0,0,37,6.1,1,0,0,False,,325012,Marcus Stoinis,Delhi Capitals,56143,Shakib Al Hasan,Kolkata Knight Riders,,,28235,Shikhar Dhawan,1,6.32
ipl20,100602,1254116,1st innings,0,83,41/1,0,0,37,6.1,2,2,2,False,,28235,Shikhar Dhawan,Delhi Capitals,56143,Shakib Al Hasan,Kolkata Knight Riders,,,325012,Marcus Stoinis,2,6.64
ipl20,100603,1254116,1st innings,0,82,45/1,0,0,38,6.2,4,0,0,False,,325012,Marcus Stoinis,Delhi Capitals,56143,Shakib Al Hasan,Kolkata Knight Riders,,,28235,Shikhar Dhawan,4,7.1
ipl20,100604,1254116,1st innings,0,81,46/1,0,0,39,6.3,1,0,0,False,,325012,Marcus Stoinis,Delhi Capitals,56143,Shakib Al Hasan,Kolkata Knight Riders,,,28235,Shikhar Dhawan,1,7.07
ipl20,100605,1254116,1st innings,0,80,47/1,0,0,40,6.4,1,0,0,False,,28235,Shikhar Dhawan,Delhi Capitals,56143,Shakib Al Hasan,Kolkata Knight Riders,,,325012,Marcus Stoinis,1,7.05
ipl20,100606,1254116,1st innings,0,79,48/1,0,0,41,6.5,1,0,0,False,,325012,Marcus Stoinis,Delhi Capitals,56143,Shakib Al Hasan,Kolkata Knight Riders,,,28235,Shikhar Dhawan,1,7.02
ipl20,100607,1254116,1st innings,0,78,49/1,0,0,42,6.6,1,0,0,False,,28235,Shikhar Dhawan,Delhi Capitals,56143,Shakib Al Hasan,Kolkata Knight Riders,,,325012,Marcus Stoinis,1,7.0
ipl20,100701,1254116,1st innings,0,77,50/1,0,0,43,7.1,1,0,0,False,,28235,Shikhar Dhawan,Delhi Capitals,1079848,Shivam Mavi,Kolkata Knight Riders,,,325012,Marcus Stoinis,1,6.97
ipl20,100702,1254116,1st innings,0,76,50/1,0,0,44,7.2,0,0,0,False,,325012,Marcus Stoinis,Delhi Capitals,1079848,Shivam Mavi,Kolkata Knight Riders,,,28235,Shikhar Dhawan,0,6.81
ipl20,100703,1254116,1st innings,0,75,50/1,0,0,45,7.3,0,0,0,False,,325012,Marcus Stoinis,Delhi Capitals,1079848,Shivam Mavi,Kolkata Knight Riders,,,28235,Shikhar Dhawan,0,6.66
ipl20,100704,1254116,1st innings,0,74,50/1,0,0,46,7.4,0,0,0,False,,325012,Marcus Stoinis,Delhi Capitals,1079848,Shivam Mavi,Kolkata Knight Riders,,,28235,Shikhar Dhawan,0,6.52
ipl20,100705,1254116,1st innings,0,74,51/1,0,0,46,7.4,1,1,1,False,,325012,Marcus Stoinis,Delhi Capitals,1079848,Shivam Mavi,Kolkata Knight Riders,,,28235,Shikhar Dhawan,1,6.65
ipl20,100706,1254116,1st innings,0,73,51/1,0,0,47,7.5,0,0,0,False,,325012,Marcus Stoinis,Delhi Capitals,1079848,Shivam Mavi,Kolkata Knight Riders,,,28235,Shikhar Dhawan,0,6.51
ipl20,100707,1254116,1st innings,0,72,52/1,0,0,48,7.6,1,0,0,False,,325012,Marcus Stoinis,Delhi Capitals,1079848,Shivam Mavi,Kolkata Knight Riders,,,28235,Shikhar Dhawan,1,6.5
ipl20,100801,1254116,1st innings,0,71,53/1,0,0,49,8.1,1,0,0,False,,325012,Marcus Stoinis,Delhi Capitals,230558,Sunil Narine,Kolkata Knight Riders,,,28235,Shikhar Dhawan,1,6.48
ipl20,100802,1254116,1st innings,0,70,53/1,0,0,50,8.2,0,0,0,False,,28235,Shikhar Dhawan,Delhi Capitals,230558,Sunil Narine,Kolkata Knight Riders,,,325012,Marcus Stoinis,0,6.36
ipl20,100803,1254116,1st innings,0,69,53/1,0,0,51,8.3,0,0,0,False,,28235,Shikhar Dhawan,Delhi Capitals,230558,Sunil Narine,Kolkata Knight Riders,,,325012,Marcus Stoinis,0,6.23
ipl20,100804,1254116,1st innings,0,68,53/1,0,0,52,8.4,0,0,0,False,,28235,Shikhar Dhawan,Delhi Capitals,230558,Sunil Narine,Kolkata Knight Riders,,,325012,Marcus Stoinis,0,6.11
ipl20,100805,1254116,1st innings,0,67,54/1,0,0,53,8.5,1,0,0,False,,28235,Shikhar Dhawan,Delhi Capitals,230558,Sunil Narine,Kolkata Knight Riders,,,325012,Marcus Stoinis,1,6.11
ipl20,100806,1254116,1st innings,0,66,55/1,0,0,54,8.6,1,0,0,False,,325012,Marcus Stoinis,Delhi Capitals,230558,Sunil Narine,Kolkata Knight Riders,,,28235,Shikhar Dhawan,1,6.11
ipl20,100901,1254116,1st innings,0,65,56/1,0,0,55,9.1,1,0,0,False,,325012,Marcus Stoinis,Delhi Capitals,1108375,Varun Chakravarthy,Kolkata Knight Riders,,,28235,Shikhar Dhawan,1,6.1
ipl20,100902,1254116,1st innings,0,64,58/1,0,0,56,9.2,2,0,0,False,,28235,Shikhar Dhawan,Delhi Capitals,1108375,Varun Chakravarthy,Kolkata Knight Riders,,,325012,Marcus Stoinis,2,6.21
ipl20,100903,1254116,1st innings,0,63,62/1,0,0,57,9.3,4,0,0,False,,28235,Shikhar Dhawan,Delhi Capitals,1108375,Varun Chakravarthy,Kolkata Knight Riders,,,325012,Marcus Stoinis,4,6.52
ipl20,100904,1254116,1st innings,0,62,63/1,0,0,58,9.4,1,0,0,False,,28235,Shikhar Dhawan,Delhi Capitals,1108375,Varun Chakravarthy,Kolkata Knight Riders,,,325012,Marcus Stoinis,1,6.51
ipl20,100905,1254116,1st innings,0,61,64/1,0,0,59,9.5,1,0,0,False,,325012,Marcus Stoinis,Delhi Capitals,1108375,Varun Chakravarthy,Kolkata Knight Riders,,,28235,Shikhar Dhawan,1,6.5
