ipl_season,sequence,eventid,innings,target,remainingballs,homescore,awayscore,fallofwickets,ball,over,scorevalue,validball,extras,dismissal,dismissaltype,batsmanid,batsman,batsmanteam,bowlerid,bowler,bowlerteam,otherathleteinvolvedid,otherathleteinvolved,nonstrikerid,nonstriker,runs,runrate
ipl20,100001,1254110,1st innings,0,119,0/0,0,0,1,0.1,0,0,0,False,,1060380,Ruturaj Gaikwad,Chennai Super Kings,481979,Anrich Nortje,Delhi Capitals,,,44828,Faf du Plessis,0,0.0
ipl20,100002,1254110,1st innings,0,119,5/0,0,0,1,0.1,5,5,5,False,,1060380,Ruturaj Gaikwad,Chennai Super Kings,481979,Anrich Nortje,Delhi Capitals,,,44828,Faf du Plessis,5,30.0
ipl20,100003,1254110,1st innings,0,118,5/0,0,0,2,0.2,0,0,0,False,,1060380,Ruturaj Gaikwad,Chennai Super Kings,481979,Anrich Nortje,Delhi Capitals,,,44828,Faf du Plessis,0,15.0
ipl20,100004,1254110,1st innings,0,118,6/0,0,0,2,0.2,1,1,1,False,,1060380,Ruturaj Gaikwad,Chennai Super Kings,481979,Anrich Nortje,Delhi Capitals,,,44828,Faf du Plessis,1,18.0
ipl20,100005,1254110,1st innings,0,117,8/0,0,0,3,0.3,2,0,0,False,,1060380,Ruturaj Gaikwad,Chennai Super Kings,481979,Anrich Nortje,Delhi Capitals,,,44828,Faf du Plessis,2,16.0
ipl20,100006,1254110,1st innings,0,116,12/0,0,0,4,0.4,4,0,0,False,,1060380,Ruturaj Gaikwad,Chennai Super Kings,481979,Anrich Nortje,Delhi Capitals,,,44828,Faf du Plessis,4,18.0
ipl20,100007,1254110,1st innings,0,115,12/0,0,0,5,0.5,0,0,0,False,,1060380,Ruturaj Gaikwad,Chennai Super Kings,481979,Anrich Nortje,Delhi Capitals,,,44828,Faf du Plessis,0,14.4
ipl20,100008,1254110,1st innings,0,114,16/0,0,0,6,0.6,4,0,4,False,,1060380,Ruturaj Gaikwad,Chennai Super Kings,481979,Anrich Nortje,Delhi Capitals,,,44828,Faf du Plessis,4,16.0
ipl20,100101,1254110,1st innings,0,113,16/0,0,0,7,1.1,0,0,0,False,,44828,Faf du Plessis,Chennai Super Kings,694211,Avesh Khan,Delhi Capitals,,,1060380,Ruturaj Gaikwad,0,13.71
ipl20,100102,1254110,1st innings,0,113,17/0,0,0,7,1.1,1,1,1,False,,44828,Faf du Plessis,Chennai Super Kings,694211,Avesh Khan,Delhi Capitals,,,1060380,Ruturaj Gaikwad,1,14.57
ipl20,100103,1254110,1st innings,0,112,21/0,0,0,8,1.2,4,0,0,False,,44828,Faf du Plessis,Chennai Super Kings,694211,Avesh Khan,Delhi Capitals,,,1060380,Ruturaj Gaikwad,4,15.75
ipl20,100104,1254110,1st innings,0,111,21/0,0,0,9,1.3,0,0,0,False,,44828,Faf du Plessis,Chennai Super Kings,694211,Avesh Khan,Delhi Capitals,,,1060380,Ruturaj Gaikwad,0,14.0
ipl20,100105,1254110,1st innings,0,110,25/0,0,0,10,1.4,4,0,0,False,,44828,Faf du Plessis,Chennai Super Kings,694211,Avesh Khan,Delhi Capitals,,,1060380,Ruturaj Gaikwad,4,15.0
ipl20,100106,1254110,1st innings,0,109,26/0,0,0,11,1.5,1,0,0,False,,44828,Faf du Plessis,Chennai Super Kings,694211,Avesh Khan,Delhi Capitals,,,1060380,Ruturaj Gaikwad,1,14.18
ipl20,100107,1254110,1st innings,0,108,26/0,0,0,12,1.6,0,0,0,False,,1060380,Ruturaj Gaikwad,Chennai Super Kings,694211,Avesh Khan,Delhi Capitals,,,44828,Faf du Plessis,0,13.0
ipl20,100201,1254110,1st innings,0,107,27/0,0,0,13,2.1,1,0,0,False,,44828,Faf du Plessis,Chennai Super Kings,554691,Axar Patel,Delhi Capitals,,,1060380,Ruturaj Gaikwad,1,12.46
ipl20,100202,1254110,1st innings,0,106,28/0,0,0,14,2.2,1,0,0,False,,1060380,Ruturaj Gaikwad,Chennai Super Kings,554691,Axar Patel,Delhi Capitals,,,44828,Faf du Plessis,1,12.0
ipl20,100203,1254110,1st innings,0,105,28/0,0,0,15,2.3,0,0,0,False,,44828,Faf du Plessis,Chennai Super Kings,554691,Axar Patel,Delhi Capitals,,,1060380,Ruturaj Gaikwad,0,11.2
ipl20,100204,1254110,1st innings,0,104,28/1,0,1,16,2.4,0,0,0,True,caught,44828,Faf du Plessis,Chennai Super Kings,554691,Axar Patel,Delhi Capitals,44828,Faf du Plessis,1060380,Ruturaj Gaikwad,0,10.5
ipl20,100205,1254110,1st innings,0,103,29/1,0,0,17,2.5,1,0,0,False,,35582,Robin Uthappa,Chennai Super Kings,554691,Axar Patel,Delhi Capitals,,,1060380,Ruturaj Gaikwad,1,10.23
ipl20,100206,1254110,1st innings,0,102,30/1,0,0,18,2.6,1,0,0,False,,1060380,Ruturaj Gaikwad,Chennai Super Kings,554691,Axar Patel,Delhi Capitals,,,35582,Robin Uthappa,1,10.0
ipl20,100301,1254110,1st innings,0,101,30/1,0,0,19,3.1,0,0,0,False,,1060380,Ruturaj Gaikwad,Chennai Super Kings,550215,Kagiso Rabada,Delhi Capitals,,,35582,Robin Uthappa,0,9.47
ipl20,100302,1254110,1st innings,0,100,34/1,0,0,20,3.2,4,0,0,False,,1060380,Ruturaj Gaikwad,Chennai Super Kings,550215,Kagiso Rabada,Delhi Capitals,,,35582,Robin Uthappa,4,10.2
ipl20,100303,1254110,1st innings,0,99,35/1,0,0,21,3.3,1,0,0,False,,1060380,Ruturaj Gaikwad,Chennai Super Kings,550215,Kagiso Rabada,Delhi Capitals,,,35582,Robin Uthappa,1,10.0
ipl20,100304,1254110,1st innings,0,98,35/1,0,0,22,3.4,0,0,0,False,,35582,Robin Uthappa,Chennai Super Kings,550215,Kagiso Rabada,Delhi Capitals,,,1060380,Ruturaj Gaikwad,0,9.54
ipl20,100305,1254110,1st innings,0,97,35/1,0,0,23,3.5,0,0,0,False,,35582,Robin Uthappa,Chennai Super Kings,550215,Kagiso Rabada,Delhi Capitals,,,1060380,Ruturaj Gaikwad,0,9.13
ipl20,100306,1254110,1st innings,0,96,36/1,0,0,24,3.6,1,0,0,False,,35582,Robin Uthappa,Chennai Super Kings,550215,Kagiso Rabada,Delhi Capitals,,,1060380,Ruturaj Gaikwad,1,9.0
ipl20,100401,1254110,1st innings,0,95,38/1,0,0,25,4.1,2,0,0,False,,35582,Robin Uthappa,Chennai Super Kings,481979,Anrich Nortje,Delhi Capitals,,,1060380,Ruturaj Gaikwad,2,9.12
