matchid,playername,total_runs,total_balls_faced,total_legal_balls_faced,run_6,run_4,fallofwickets,batsmen_innings,batsmen_battingteam,batsmen_bowlingteam,total_wickets,total_balls_bowled,total_legal_balls_bowled,total_runs_given,maiden_overs,bowlers_innings,bowler_battingteam,bowler_bowlingteam,economy_rate,playing_role,total_runs_points,run_6_points,run_4_points,run_bonus_points,total_bat_points,total_wickets_points,economy_rate_points,maiden_overs_points,wicket_bonus_points,total_bowl_points,total_points
1254110,S Dhawan,40.0,35.0,35.0,2.0,3.0,0.0,2nd innings,Delhi Capitals,Chennai Super Kings,,,,,,,,,,Batsmen,40.0,4.0,3.0,0,47.0,,0,,0,,47.0
1254110,SO Hetmyer,32.0,21.0,19.0,1.0,2.0,0.0,2nd innings,Delhi Capitals,Chennai Super Kings,,,,,,,,,,Batsmen,32.0,2.0,2.0,0,36.0,,0,,0,,36.0
1254110,SS Iyer,2.0,7.0,7.0,,,0.0,2nd innings,Delhi Capitals,Chennai Super Kings,,,,,,,,,,Batsmen,2.0,,,0,2.0,,0,,0,,2.0
1254114,AR Patel,10.0,11.0,11.0,,1.0,0.0,1st innings,Delhi Capitals,Chennai Super Kings,,18.0,18.0,23.0,0.0,2nd innings,Chennai Super Kings,Delhi Capitals,7.666666666666667,Bowler,10.0,,1.0,0,11.0,,0,0.0,0,0.0,11.0
1254114,AS Raut,70.0,50.0,50.0,2.0,5.0,0.0,2nd innings,Chennai Super Kings,Delhi Capitals,,,,,,,,,,Batsmen,70.0,4.0,5.0,8,87.0,,0,,0,,87.0
1254114,AT Rayudu,1.0,3.0,3.0,,,0.0,2nd innings,Chennai Super Kings,Delhi Capitals,,,,,,,,,,Batsmen,1.0,,,0,1.0,,0,,0,,1.0
1254114,F du Plessis,1.0,2.0,2.0,,,0.0,2nd innings,Chennai Super Kings,Delhi Capitals,,,,,,,,,,Batsmen,1.0,,,0,1.0,,0,,0,,1.0
1254114,MM Ali,16.0,12.0,12.0,,2.0,0.0,2nd innings,Chennai Super Kings,Delhi Capitals,1.0,25.0,24.0,27.0,0.0,1st innings,Delhi Capitals,Chennai Super Kings,6.75,AllRounder,16.0,,2.0,0,18.0,25.0,0,0.0,0,25.0,43.0
1254114,MS Dhoni,19.0,7.0,6.0,1.0,3.0,0.0,2nd innings,Chennai Super Kings,Delhi Capitals,,,,,,,,,,Batsmen,19.0,2.0,3.0,0,24.0,,0,,0,,24.0
1254114,PP Shaw,60.0,34.0,34.0,3.0,7.0,0.0,1st innings,Delhi Capitals,Chennai Super Kings,,,,,,,,,,Batsmen,60.0,6.0,7.0,8,81.0,,0,,0,,81.0
1254114,RR Pant,54.0,38.0,38.0,2.0,3.0,0.0,1st innings,Delhi Capitals,Chennai Super Kings,,,,,,,,,,Batsmen,54.0,4.0,3.0,8,69.0,,0,,0,,69.0
1254114,RV Uthappa,65.0,45.0,45.0,2.0,7.0,0.0,2nd innings,Chennai Super Kings,Delhi Capitals,,,,,,,,,,Batsmen,65.0,4.0,7.0,8,84.0,,0,,0,,84.0
1254114,S Dhawan,7.0,7.0,7.0,,1.0,0.0,1st innings,Delhi Capitals,Chennai Super Kings,,,,,,,,,,Batsmen,7.0,,1.0,0,8.0,,0,,0,,8.0
1254114,SN Thakur,1.0,2.0,2.0,,,0.0,2nd innings,Chennai Super Kings,Delhi Capitals,,20.0,19.0,36.0,0.0,1st innings,Delhi Capitals,Chennai Super Kings,11.368421052631579,Bowler,1.0,,,0,1.0,,-6,0.0,0,-6.0,-5.0
