matchid,playername,total_runs,total_balls_faced,total_legal_balls_faced,run_6,run_4,fallofwickets,batsmen_innings,batsmen_battingteam,batsmen_bowlingteam,total_wickets,total_balls_bowled,total_legal_balls_bowled,total_runs_given,maiden_overs,bowlers_innings,bowler_battingteam,bowler_bowlingteam,economy_rate,playing_role,total_runs_points,run_6_points,run_4_points,run_bonus_points,total_bat_points,total_wickets_points,economy_rate_points,maiden_overs_points,wicket_bonus_points,total_bowl_points,total_points
1254093,S Gopal,0.0,1.0,1.0,,,7.0,1st innings,Rajasthan Royals,Mumbai Indians,,6.0,6.0,9.0,0.0,2nd innings,Mumbai Indians,Rajasthan Royals,9.0,Bowler,0.0,,,-2,-2.0,,-2,0.0,0,-2.0,-4.0
1254093,SA Yadav,14.0,9.0,8.0,,3.0,0.0,2nd innings,Mumbai Indians,Rajasthan Royals,,,,,,,,,,Batsmen,14.0,,3.0,0,17.0,,0,,0,,17.0
1254093,SV Samson,4.0,7.0,7.0,,,0.0,1st innings,Rajasthan Royals,Mumbai Indians,,,,,,,,,,Batsmen,4.0,,,0,4.0,,0,,0,,4.0
1254093,Yashasvi Jaiswal,12.0,9.0,9.0,,3.0,0.0,1st innings,Rajasthan Royals,Mumbai Indians,,,,,,,,,,Batsmen,12.0,,3.0,0,15.0,,0,,0,,15.0
1254094,AS Raut,12.0,14.0,14.0,,1.0,0.0,1st innings,Chennai Super Kings,Punjab Kings,,,,,,,,,,Batsmen,12.0,,1.0,0,13.0,,0,,0,,13.0
1254094,AT Rayudu,4.0,5.0,5.0,,,0.0,1st innings,Chennai Super Kings,Punjab Kings,,,,,,,,,,Batsmen,4.0,,,0,4.0,,0,,0,,4.0
1254094,Aiden Markram,13.0,8.0,8.0,1.0,,0.0,2nd innings,Punjab Kings,Chennai Super Kings,,,,,,,,,,Batsmen,13.0,2.0,,0,15.0,,0,,0,,15.0
1254094,DJ Bravo,1.0,1.0,1.0,,,0.0,1st innings,Chennai Super Kings,Punjab Kings,,14.0,12.0,32.0,0.0,2nd innings,Punjab Kings,Chennai Super Kings,16.0,Bowler,1.0,,,0,1.0,,-6,0.0,0,-6.0,-5.0
1254094,F du Plessis,83.0,61.0,59.0,2.0,8.0,0.0,1st innings,Chennai Super Kings,Punjab Kings,,,,,,,,,,Batsmen,83.0,4.0,8.0,8,103.0,,0,,0,,103.0
1254094,KL Rahul,103.0,47.0,44.0,8.0,7.0,0.0,2nd innings,Punjab Kings,Chennai Super Kings,,,,,,,,,,Batsmen,103.0,16.0,7.0,24,150.0,,0,,0,,150.0
1254094,M Shahrukh Khan,8.0,10.0,10.0,1.0,,0.0,2nd innings,Punjab Kings,Chennai Super Kings,,,,,,,,,,Batsmen,8.0,2.0,,0,10.0,,0,,0,,10.0
1254094,MA Agarwal,12.0,12.0,12.0,,2.0,0.0,2nd innings,Punjab Kings,Chennai Super Kings,,,,,,,,,,Batsmen,12.0,,2.0,0,14.0,,0,,0,,14.0
1254094,MM Ali,0.0,6.0,6.0,,,0.0,1st innings,Chennai Super Kings,Punjab Kings,,,,,,,,,,AllRounder,0.0,,,-2,-2.0,,0,,0,,-2.0
1254094,MS Dhoni,12.0,15.0,15.0,,2.0,0.0,1st innings,Chennai Super Kings,Punjab Kings,,,,,,,,,,Batsmen,12.0,,2.0,0,14.0,,0,,0,,14.0
1254094,Moises Henriques,3.0,3.0,3.0,,,0.0,2nd innings,Punjab Kings,Chennai Super Kings,,7.0,6.0,9.0,0.0,1st innings,Chennai Super Kings,Punjab Kings,9.0,Bowler,3.0,,,0,3.0,,-2,0.0,0,-2.0,1.0
1254094,RA Jadeja,16.0,17.0,17.0,,1.0,0.0,1st innings,Chennai Super Kings,Punjab Kings,,6.0,6.0,9.0,0.0,2nd innings,Punjab Kings,Chennai Super Kings,9.0,Bowler,16.0,,1.0,0,17.0,,-2,0.0,0,-2.0,15.0
1254094,RV Uthappa,2.0,6.0,6.0,,,0.0,1st innings,Chennai Super Kings,Punjab Kings,,,,,,,,,,Batsmen,2.0,,,0,2.0,,0,,0,,2.0
1254094,SN Khan,0.0,3.0,3.0,,,0.0,2nd innings,Punjab Kings,Chennai Super Kings,,,,,,,,,,Batsmen,0.0,,,-2,-2.0,,0,,0,,-2.0
1254095,A Samad,1.0,3.0,3.0,,,0.0,1st innings,Sunrisers Hyderabad,Royal Challengers Bangalore,,,,,,,,,,Batsmen,1.0,,,0,1.0,,0,,0,,1.0
1254095,AB de Villiers,19.0,13.0,13.0,1.0,1.0,0.0,2nd innings,Royal Challengers Bangalore,Sunrisers Hyderabad,,,,,,,,,,Batsmen,19.0,2.0,1.0,0,22.0,,0,,0,,22.0
1254095,Abhishek Sharma,13.0,10.0,10.0,1.0,1.0,0.0,1st innings,Sunrisers Hyderabad,Royal Challengers Bangalore,,,,,,,,,,Batsmen,13.0,2.0,1.0,0,16.0,,0,,0,,16.0
1254095,Dan Christian,1.0,4.0,4.0,,,0.0,2nd innings,Royal Challengers Bangalore,Sunrisers Hyderabad,2.0,18.0,18.0,14.0,0.0,1st innings,Sunrisers Hyderabad,Royal Challengers Bangalore,4.666666666666667,Bowler,1.0,,,0,1.0,50.0,4,0.0,0,54.0,55.0
