ipl_season,sequence,eventid,innings,target,remainingballs,homescore,awayscore,fallofwickets,ball,over,scorevalue,validball,extras,dismissal,dismissaltype,batsmanid,batsman,batsmanteam,bowlerid,bowler,bowlerteam,otherathleteinvolvedid,otherathleteinvolved,nonstrikerid,nonstriker,runs,runrate
ipl20,100001,1254088,1st innings,0,119,1/0,0,0,1,0.1,1,0,0,False,,34102,Rohit Sharma,Mumbai Indians,25913,Mohammad Nabi,Sunrisers Hyderabad,,,720471,Ishan Kishan,1,6.0
ipl20,100002,1254088,1st innings,0,118,7/0,0,0,2,0.2,6,0,0,False,,720471,Ishan Kishan,Mumbai Indians,25913,Mohammad Nabi,Sunrisers Hyderabad,,,34102,Rohit Sharma,6,21.0
ipl20,100003,1254088,1st innings,0,117,7/0,0,0,3,0.3,0,0,0,False,,720471,Ishan Kishan,Mumbai Indians,25913,Mohammad Nabi,Sunrisers Hyderabad,,,34102,Rohit Sharma,0,14.0
ipl20,100004,1254088,1st innings,0,116,8/0,0,0,4,0.4,1,0,0,False,,720471,Ishan Kishan,Mumbai Indians,25913,Mohammad Nabi,Sunrisers Hyderabad,,,34102,Rohit Sharma,1,12.0
ipl20,100005,1254088,1st innings,0,115,8/0,0,0,5,0.5,0,0,0,False,,34102,Rohit Sharma,Mumbai Indians,25913,Mohammad Nabi,Sunrisers Hyderabad,,,720471,Ishan Kishan,0,9.6
ipl20,100006,1254088,1st innings,0,114,8/0,0,0,6,0.6,0,0,0,False,,34102,Rohit Sharma,Mumbai Indians,25913,Mohammad Nabi,Sunrisers Hyderabad,,,720471,Ishan Kishan,0,8.0
ipl20,100101,1254088,1st innings,0,113,8/0,0,0,7,1.1,0,0,0,False,,720471,Ishan Kishan,Mumbai Indians,326017,Siddarth Kaul,Sunrisers Hyderabad,,,34102,Rohit Sharma,0,6.85
ipl20,100102,1254088,1st innings,0,112,12/0,0,0,8,1.2,4,0,0,False,,720471,Ishan Kishan,Mumbai Indians,326017,Siddarth Kaul,Sunrisers Hyderabad,,,34102,Rohit Sharma,4,9.0
ipl20,100103,1254088,1st innings,0,111,16/0,0,0,9,1.3,4,0,0,False,,720471,Ishan Kishan,Mumbai Indians,326017,Siddarth Kaul,Sunrisers Hyderabad,,,34102,Rohit Sharma,4,10.66
ipl20,100104,1254088,1st innings,0,110,20/0,0,0,10,1.4,4,0,0,False,,720471,Ishan Kishan,Mumbai Indians,326017,Siddarth Kaul,Sunrisers Hyderabad,,,34102,Rohit Sharma,4,12.0
ipl20,100105,1254088,1st innings,0,109,24/0,0,0,11,1.5,4,0,0,False,,720471,Ishan Kishan,Mumbai Indians,326017,Siddarth Kaul,Sunrisers Hyderabad,,,34102,Rohit Sharma,4,13.09
ipl20,100106,1254088,1st innings,0,108,26/0,0,0,12,1.6,2,0,0,False,,720471,Ishan Kishan,Mumbai Indians,326017,Siddarth Kaul,Sunrisers Hyderabad,,,34102,Rohit Sharma,2,13.0
ipl20,100201,1254088,1st innings,0,107,30/0,0,0,13,2.1,4,0,0,False,,34102,Rohit Sharma,Mumbai Indians,25913,Mohammad Nabi,Sunrisers Hyderabad,,,720471,Ishan Kishan,4,13.84
ipl20,100202,1254088,1st innings,0,106,31/0,0,0,14,2.2,1,0,0,False,,34102,Rohit Sharma,Mumbai Indians,25913,Mohammad Nabi,Sunrisers Hyderabad,,,720471,Ishan Kishan,1,13.28
ipl20,100203,1254088,1st innings,0,105,35/0,0,0,15,2.3,4,0,0,False,,720471,Ishan Kishan,Mumbai Indians,25913,Mohammad Nabi,Sunrisers Hyderabad,,,34102,Rohit Sharma,4,14.0
ipl20,100204,1254088,1st innings,0,104,36/0,0,0,16,2.4,1,0,0,False,,720471,Ishan Kishan,Mumbai Indians,25913,Mohammad Nabi,Sunrisers Hyderabad,,,34102,Rohit Sharma,1,13.5
ipl20,100205,1254088,1st innings,0,103,37/0,0,0,17,2.5,1,0,0,False,,34102,Rohit Sharma,Mumbai Indians,25913,Mohammad Nabi,Sunrisers Hyderabad,,,720471,Ishan Kishan,1,13.05
ipl20,100206,1254088,1st innings,0,102,41/0,0,0,18,2.6,4,0,0,False,,720471,Ishan Kishan,Mumbai Indians,25913,Mohammad Nabi,Sunrisers Hyderabad,,,34102,Rohit Sharma,4,13.66
ipl20,100301,1254088,1st innings,0,101,45/0,0,0,19,3.1,4,0,0,False,,34102,Rohit Sharma,Mumbai Indians,391485,Jason Holder,Sunrisers Hyderabad,,,720471,Ishan Kishan,4,14.21
ipl20,100302,1254088,1st innings,0,100,46/0,0,0,20,3.2,1,0,0,False,,34102,Rohit Sharma,Mumbai Indians,391485,Jason Holder,Sunrisers Hyderabad,,,720471,Ishan Kishan,1,13.8
ipl20,100303,1254088,1st innings,0,99,48/0,0,0,21,3.3,2,0,0,False,,720471,Ishan Kishan,Mumbai Indians,391485,Jason Holder,Sunrisers Hyderabad,,,34102,Rohit Sharma,2,13.71
ipl20,100304,1254088,1st innings,0,98,54/0,0,0,22,3.4,6,0,0,False,,720471,Ishan Kishan,Mumbai Indians,391485,Jason Holder,Sunrisers Hyderabad,,,34102,Rohit Sharma,6,14.72
ipl20,100305,1254088,1st innings,0,98,55/0,0,0,22,3.4,1,1,1,False,,720471,Ishan Kishan,Mumbai Indians,391485,Jason Holder,Sunrisers Hyderabad,,,34102,Rohit Sharma,1,15.0
ipl20,100306,1254088,1st innings,0,97,59/0,0,0,23,3.5,4,0,0,False,,720471,Ishan Kishan,Mumbai Indians,391485,Jason Holder,Sunrisers Hyderabad,,,34102,Rohit Sharma,4,15.39
ipl20,100307,1254088,1st innings,0,96,63/0,0,0,24,3.6,4,0,0,False,,720471,Ishan Kishan,Mumbai Indians,391485,Jason Holder,Sunrisers Hyderabad,,,34102,Rohit Sharma,4,15.75
ipl20,100401,1254088,1st innings,0,95,63/0,0,0,25,4.1,0,0,0,False,,34102,Rohit Sharma,Mumbai Indians,1246528,Umran Malik,Sunrisers Hyderabad,,,720471,Ishan Kishan,0,15.12
ipl20,100402,1254088,1st innings,0,94,67/0,0,0,26,4.2,4,0,0,False,,34102,Rohit Sharma,Mumbai Indians,1246528,Umran Malik,Sunrisers Hyderabad,,,720471,Ishan Kishan,4,15.46
ipl20,100403,1254088,1st innings,0,93,68/0,0,0,27,4.3,1,0,0,False,,34102,Rohit Sharma,Mumbai Indians,1246528,Umran Malik,Sunrisers Hyderabad,,,720471,Ishan Kishan,1,15.11
ipl20,100404,1254088,1st innings,0,92,72/0,0,0,28,4.4,4,0,0,False,,720471,Ishan Kishan,Mumbai Indians,1246528,Umran Malik,Sunrisers Hyderabad,,,34102,Rohit Sharma,4,15.42
ipl20,100405,1254088,1st innings,0,91,74/0,0,0,29,4.5,2,0,0,False,,720471,Ishan Kishan,Mumbai Indians,1246528,Umran Malik,Sunrisers Hyderabad,,,34102,Rohit Sharma,2,15.31
ipl20,100406,1254088,1st innings,0,90,78/0,0,0,30,4.6,4,0,0,False,,720471,Ishan Kishan,Mumbai Indians,1246528,Umran Malik,Sunrisers Hyderabad,,,34102,Rohit Sharma,4,15.6
ipl20,100501,1254088,1st innings,0,89,79/0,0,0,31,5.1,1,0,0,False,,34102,Rohit Sharma,Mumbai Indians,793463,Rashid Khan,Sunrisers Hyderabad,,,720471,Ishan Kishan,1,15.29
ipl20,100502,1254088,1st innings,0,88,80/0,0,0,32,5.2,1,0,0,False,,720471,Ishan Kishan,Mumbai Indians,793463,Rashid Khan,Sunrisers Hyderabad,,,34102,Rohit Sharma,1,15.0
ipl20,100503,1254088,1st innings,0,87,80/1,0,1,33,5.3,0,0,0,True,caught,34102,Rohit Sharma,Mumbai Indians,793463,Rashid Khan,Sunrisers Hyderabad,25913,Mohammad Nabi,720471,Ishan Kishan,0,14.54
ipl20,100504,1254088,1st innings,0,86,81/1,0,0,34,5.4,1,0,0,False,,720471,Ishan Kishan,Mumbai Indians,793463,Rashid Khan,Sunrisers Hyderabad,,,625371,Hardik Pandya,1,14.29
ipl20,100505,1254088,1st innings,0,85,82/1,0,0,35,5.5,1,0,0,False,,625371,Hardik Pandya,Mumbai Indians,793463,Rashid Khan,Sunrisers Hyderabad,,,720471,Ishan Kishan,1,14.05
ipl20,100506,1254088,1st innings,0,84,83/1,0,0,36,5.6,1,0,0,False,,720471,Ishan Kishan,Mumbai Indians,793463,Rashid Khan,Sunrisers Hyderabad,,,625371,Hardik Pandya,1,13.83
ipl20,100601,1254088,1st innings,0,83,83/1,0,0,37,6.1,0,0,0,False,,720471,Ishan Kishan,Mumbai Indians,1246528,Umran Malik,Sunrisers Hyderabad,,,625371,Hardik Pandya,0,13.45
ipl20,100602,1254088,1st innings,0,82,87/1,0,0,38,6.2,4,0,0,False,,720471,Ishan Kishan,Mumbai Indians,1246528,Umran Malik,Sunrisers Hyderabad,,,625371,Hardik Pandya,4,13.73
ipl20,100603,1254088,1st innings,0,81,88/1,0,0,39,6.3,1,0,0,False,,720471,Ishan Kishan,Mumbai Indians,1246528,Umran Malik,Sunrisers Hyderabad,,,625371,Hardik Pandya,1,13.53
ipl20,100604,1254088,1st innings,0,80,89/1,0,0,40,6.4,1,0,0,False,,625371,Hardik Pandya,Mumbai Indians,1246528,Umran Malik,Sunrisers Hyderabad,,,720471,Ishan Kishan,1,13.35
ipl20,100605,1254088,1st innings,0,79,95/1,0,0,41,6.5,6,0,0,False,,720471,Ishan Kishan,Mumbai Indians,1246528,Umran Malik,Sunrisers Hyderabad,,,625371,Hardik Pandya,6,13.9
ipl20,100606,1254088,1st innings,0,78,96/1,0,0,42,6.6,1,0,0,False,,720471,Ishan Kishan,Mumbai Indians,1246528,Umran Malik,Sunrisers Hyderabad,,,625371,Hardik Pandya,1,13.71
ipl20,100701,1254088,1st innings,0,77,102/1,0,0,43,7.1,6,0,0,False,,720471,Ishan Kishan,Mumbai Indians,793463,Rashid Khan,Sunrisers Hyderabad,,,625371,Hardik Pandya,6,14.23
ipl20,100702,1254088,1st innings,0,76,103/1,0,0,44,7.2,1,0,0,False,,720471,Ishan Kishan,Mumbai Indians,793463,Rashid Khan,Sunrisers Hyderabad,,,625371,Hardik Pandya,1,14.04
ipl20,100703,1254088,1st innings,0,75,104/1,0,0,45,7.3,1,0,0,False,,625371,Hardik Pandya,Mumbai Indians,793463,Rashid Khan,Sunrisers Hyderabad,,,720471,Ishan Kishan,1,13.86
ipl20,100704,1254088,1st innings,0,74,105/1,0,0,46,7.4,1,0,0,False,,720471,Ishan Kishan,Mumbai Indians,793463,Rashid Khan,Sunrisers Hyderabad,,,625371,Hardik Pandya,1,13.69
ipl20,100705,1254088,1st innings,0,73,111/1,0,0,47,7.5,6,0,0,False,,625371,Hardik Pandya,Mumbai Indians,793463,Rashid Khan,Sunrisers Hyderabad,,,720471,Ishan Kishan,6,14.17
ipl20,100706,1254088,1st innings,0,72,112/1,0,0,48,7.6,1,0,0,False,,625371,Hardik Pandya,Mumbai Indians,793463,Rashid Khan,Sunrisers Hyderabad,,,720471,Ishan Kishan,1,14.0
ipl20,100801,1254088,1st innings,0,72,113/1,0,0,48,8.0,1,1,1,False,,625371,Hardik Pandya,Mumbai Indians,391485,Jason Holder,Sunrisers Hyderabad,,,720471,Ishan Kishan,1,14.12
ipl20,100802,1254088,1st innings,0,71,113/1,0,0,49,8.1,0,0,0,False,,625371,Hardik Pandya,Mumbai Indians,391485,Jason Holder,Sunrisers Hyderabad,,,720471,Ishan Kishan,0,13.83
ipl20,100803,1254088,1st innings,0,70,113/1,0,0,50,8.2,0,0,0,False,,625371,Hardik Pandya,Mumbai Indians,391485,Jason Holder,Sunrisers Hyderabad,,,720471,Ishan Kishan,0,13.56
ipl20,100804,1254088,1st innings,0,69,113/2,0,2,51,8.3,0,0,0,True,caught,625371,Hardik Pandya,Mumbai Indians,391485,Jason Holder,Sunrisers Hyderabad,298438,Jason Roy,720471,Ishan Kishan,0,13.29
ipl20,100805,1254088,1st innings,0,69,118/2,0,0,51,8.3,5,5,5,False,,230559,Kieron Pollard,Mumbai Indians,391485,Jason Holder,Sunrisers Hyderabad,,,720471,Ishan Kishan,5,13.88
ipl20,100806,1254088,1st innings,0,68,122/2,0,0,52,8.4,4,0,0,False,,230559,Kieron Pollard,Mumbai Indians,391485,Jason Holder,Sunrisers Hyderabad,,,720471,Ishan Kishan,4,14.07
ipl20,100807,1254088,1st innings,0,67,123/2,0,0,53,8.5,1,0,0,False,,230559,Kieron Pollard,Mumbai Indians,391485,Jason Holder,Sunrisers Hyderabad,,,720471,Ishan Kishan,1,13.92
ipl20,100808,1254088,1st innings,0,66,124/2,0,0,54,8.6,1,0,0,False,,720471,Ishan Kishan,Mumbai Indians,391485,Jason Holder,Sunrisers Hyderabad,,,230559,Kieron Pollard,1,13.77
ipl20,100901,1254088,1st innings,0,65,124/3,0,3,55,9.1,0,0,0,True,caught,720471,Ishan Kishan,Mumbai Indians,1246528,Umran Malik,Sunrisers Hyderabad,1246528,Umran Malik,230559,Kieron Pollard,0,13.52
ipl20,100902,1254088,1st innings,0,64,128/3,0,0,56,9.2,4,0,0,False,,446507,Suryakumar Yadav,Mumbai Indians,1246528,Umran Malik,Sunrisers Hyderabad,,,230559,Kieron Pollard,4,13.71
ipl20,100903,1254088,1st innings,0,63,128/3,0,0,57,9.3,0,0,0,False,,446507,Suryakumar Yadav,Mumbai Indians,1246528,Umran Malik,Sunrisers Hyderabad,,,230559,Kieron Pollard,0,13.47
ipl20,100904,1254088,1st innings,0,62,129/3,0,0,58,9.4,1,0,0,False,,446507,Suryakumar Yadav,Mumbai Indians,1246528,Umran Malik,Sunrisers Hyderabad,,,230559,Kieron Pollard,1,13.34
ipl20,100905,1254088,1st innings,0,61,130/3,0,0,59,9.5,1,0,0,False,,230559,Kieron Pollard,Mumbai Indians,1246528,Umran Malik,Sunrisers Hyderabad,,,446507,Suryakumar Yadav,1,13.22
ipl20,100906,1254088,1st innings,0,60,131/3,0,0,60,9.6,1,0,0,False,,446507,Suryakumar Yadav,Mumbai Indians,1246528,Umran Malik,Sunrisers Hyderabad,,,230559,Kieron Pollard,1,13.1
ipl20,101001,1254088,1st innings,0,59,132/3,0,0,61,10.1,1,0,0,False,,446507,Suryakumar Yadav,Mumbai Indians,326017,Siddarth Kaul,Sunrisers Hyderabad,,,230559,Kieron Pollard,1,12.98
ipl20,101002,1254088,1st innings,0,58,132/3,0,0,62,10.2,0,0,0,False,,230559,Kieron Pollard,Mumbai Indians,326017,Siddarth Kaul,Sunrisers Hyderabad,,,446507,Suryakumar Yadav,0,12.77
ipl20,101003,1254088,1st innings,0,57,133/3,0,0,63,10.3,1,0,0,False,,230559,Kieron Pollard,Mumbai Indians,326017,Siddarth Kaul,Sunrisers Hyderabad,,,446507,Suryakumar Yadav,1,12.66
ipl20,101004,1254088,1st innings,0,56,137/3,0,0,64,10.4,4,0,0,False,,446507,Suryakumar Yadav,Mumbai Indians,326017,Siddarth Kaul,Sunrisers Hyderabad,,,230559,Kieron Pollard,4,12.84
ipl20,101005,1254088,1st innings,0,55,138/3,0,0,65,10.5,1,0,0,False,,446507,Suryakumar Yadav,Mumbai Indians,326017,Siddarth Kaul,Sunrisers Hyderabad,,,230559,Kieron Pollard,1,12.73
ipl20,101006,1254088,1st innings,0,54,139/3,0,0,66,10.6,1,0,0,False,,230559,Kieron Pollard,Mumbai Indians,326017,Siddarth Kaul,Sunrisers Hyderabad,,,446507,Suryakumar Yadav,1,12.63
ipl20,101101,1254088,1st innings,0,53,139/3,0,0,67,11.1,0,0,0,False,,230559,Kieron Pollard,Mumbai Indians,793463,Rashid Khan,Sunrisers Hyderabad,,,446507,Suryakumar Yadav,0,12.44
