matchid,playername,total_runs,total_balls_faced,total_legal_balls_faced,run_6,run_4,fallofwickets,batsmen_innings,batsmen_battingteam,batsmen_bowlingteam,total_wickets,total_balls_bowled,total_legal_balls_bowled,total_runs_given,maiden_overs,bowlers_innings,bowler_battingteam,bowler_bowlingteam,economy_rate,playing_role,total_runs_points,run_6_points,run_4_points,run_bonus_points,total_bat_points,total_wickets_points,economy_rate_points,maiden_overs_points,wicket_bonus_points,total_bowl_points,total_points
1216493,MA Agarwal,190.0,122.0,61.0,8.0,16.0,0.0,2nd innings,Kings XI Punjab,Delhi Capitals,,,,,,,,,,Batsmen,190.0,16.0,16.0,24,246.0,,0,,0,,246.0
1216493,MP Stoinis,112.0,46.0,20.0,6.0,14.0,0.0,1st innings,Delhi Capitals,Kings XI Punjab,4.0,36.0,18.0,60.0,0.0,2nd innings,Kings XI Punjab,Delhi Capitals,20.0,AllRounder,112.0,12.0,14.0,24,162.0,100.0,-6,0.0,8,102.0,264.0
1216493,N Pooran,0.0,6.0,3.0,,,0.0,2nd innings,Kings XI Punjab,Delhi Capitals,,,,,,,,,,Batsmen,0.0,,,-2,-2.0,,0,,0,,-2.0
1216493,PP Shaw,12.0,18.0,9.0,,2.0,0.0,1st innings,Delhi Capitals,Kings XI Punjab,,,,,,,,,,Batsmen,12.0,,2.0,0,14.0,,0,,0,,14.0
1216493,R Ashwin,8.0,12.0,6.0,,,0.0,1st innings,Delhi Capitals,Kings XI Punjab,4.0,12.0,6.0,4.0,0.0,2nd innings,Kings XI Punjab,Delhi Capitals,4.0,Bowler,8.0,,,0,8.0,100.0,6,0.0,8,114.0,122.0
1216493,RR Pant,68.0,64.0,32.0,,8.0,0.0,1st innings,Delhi Capitals,Kings XI Punjab,,,,,,,,,,Batsmen,68.0,,8.0,8,84.0,,0,,0,,84.0
1216493,S Dhawan,0.0,4.0,2.0,,,0.0,1st innings,Delhi Capitals,Kings XI Punjab,,,,,,,,,,Batsmen,0.0,,,-2,-2.0,,0,,0,,-2.0
1216493,SN Khan,24.0,24.0,12.0,,4.0,0.0,2nd innings,Kings XI Punjab,Delhi Capitals,,,,,,,,,,Batsmen,24.0,,4.0,0,28.0,,0,,0,,28.0
1216493,SO Hetmyer,14.0,26.0,13.0,,2.0,0.0,1st innings,Delhi Capitals,Kings XI Punjab,,,,,,,,,,Batsmen,14.0,,2.0,0,16.0,,0,,0,,16.0
1216493,SS Iyer,80.0,66.0,33.0,6.0,,0.0,1st innings,Delhi Capitals,Kings XI Punjab,,,,,,,,,,Batsmen,80.0,12.0,,8,100.0,,0,,0,,100.0
1216496,AS Raut,0.0,2.0,1.0,,,4.0,2nd innings,Chennai Super Kings,Rajasthan Royals,,,,,,,,,,Batsmen,0.0,,,-2,-2.0,,0,,0,,-2.0
1216496,F du Plessis,146.0,76.0,38.0,14.0,2.0,0.0,2nd innings,Chennai Super Kings,Rajasthan Royals,,,,,,,,,,Batsmen,146.0,28.0,2.0,24,200.0,,0,,0,,200.0
1216496,JC Archer,60.0,18.0,6.0,4.0,,0.0,1st innings,Rajasthan Royals,Chennai Super Kings,2.0,50.0,25.0,52.0,0.0,2nd innings,Chennai Super Kings,Rajasthan Royals,12.48,AllRounder,60.0,8.0,,8,76.0,50.0,-6,0.0,0,44.0,120.0
1216496,KM Jadhav,48.0,34.0,17.0,,6.0,0.0,2nd innings,Chennai Super Kings,Rajasthan Royals,,,,,,,,,,Batsmen,48.0,,6.0,0,54.0,,0,,0,,54.0
1216496,M Vijay,44.0,42.0,21.0,,6.0,0.0,2nd innings,Chennai Super Kings,Rajasthan Royals,,,,,,,,,,Batsmen,44.0,,6.0,0,50.0,,0,,0,,50.0
1216496,MS Dhoni,58.0,34.0,17.0,6.0,,0.0,2nd innings,Chennai Super Kings,Rajasthan Royals,,,,,,,,,,Batsmen,58.0,12.0,,8,78.0,,0,,0,,78.0
1216496,R Parag,12.0,8.0,4.0,,2.0,0.0,1st innings,Rajasthan Royals,Chennai Super Kings,,,,,,,,,,Batsmen,12.0,,2.0,0,14.0,,0,,0,,14.0
1216496,R Tewatia,20.0,16.0,8.0,,2.0,0.0,1st innings,Rajasthan Royals,Chennai Super Kings,6.0,48.0,24.0,74.0,0.0,2nd innings,Chennai Super Kings,Rajasthan Royals,18.5,AllRounder,20.0,,2.0,0,22.0,150.0,-6,0.0,16,160.0,182.0
1216496,RA Jadeja,2.0,4.0,2.0,,,0.0,2nd innings,Chennai Super Kings,Rajasthan Royals,,52.0,24.0,80.0,0.0,1st innings,Rajasthan Royals,Chennai Super Kings,20.0,AllRounder,2.0,,,0,2.0,,-6,0.0,0,-6.0,-4.0
1216496,RV Uthappa,10.0,18.0,9.0,,,0.0,1st innings,Rajasthan Royals,Chennai Super Kings,,,,,,,,,,Batsmen,10.0,,,0,10.0,,0,,0,,10.0
1216496,SM Curran,34.0,12.0,6.0,4.0,2.0,0.0,2nd innings,Chennai Super Kings,Rajasthan Royals,6.0,50.0,24.0,66.0,0.0,1st innings,Rajasthan Royals,Chennai Super Kings,16.5,Bowler,34.0,8.0,2.0,0,44.0,150.0,-6,0.0,16,160.0,204.0
1216496,SPD Smith,146.0,102.0,50.0,8.0,8.0,0.0,1st innings,Rajasthan Royals,Chennai Super Kings,,,,,,,,,,Batsmen,146.0,16.0,8.0,24,194.0,,0,,0,,194.0
1216496,SR Watson,68.0,44.0,21.0,8.0,2.0,0.0,2nd innings,Chennai Super Kings,Rajasthan Royals,,,,,,,,,,Batsmen,68.0,16.0,2.0,8,94.0,,0,,0,,94.0
1216496,SV Samson,150.0,64.0,31.0,18.0,2.0,0.0,1st innings,Rajasthan Royals,Chennai Super Kings,,,,,,,,,,Batsmen,150.0,36.0,2.0,24,212.0,,0,,0,,212.0
1216496,TK Curran,22.0,18.0,9.0,,2.0,0.0,1st innings,Rajasthan Royals,Chennai Super Kings,2.0,50.0,24.0,110.0,0.0,2nd innings,Chennai Super Kings,Rajasthan Royals,27.5,AllRounder,22.0,,2.0,0,24.0,50.0,-6,0.0,0,44.0,68.0
1216496,Yashasvi Jaiswal,12.0,12.0,6.0,,2.0,0.0,1st innings,Rajasthan Royals,Chennai Super Kings,,,,,,,,,,Batsmen,12.0,,2.0,0,14.0,,0,,0,,14.0
